Month Date,Month,Year,Amount Type,Amount,Customer Type,Customer Count
01/01/2015,Jan,2015,Commercial Therms,1519979,Commercial Count,2199
01/01/2015,Jan,2015,Interdepartmental Therms,71951,Interdepartmental Count,111
01/01/2015,Jan,2015,Other Public Authority Therms,334879,Other Public Authority Count,111
01/01/2015,Jan,2015,Residential Therms,2828117,Residential Count,56595
02/01/2015,Feb,2015,Commercial Therms,1400902,Commercial Count,2198
02/01/2015,Feb,2015,Interdepartmental Therms,60689,Interdepartmental Count,111
02/01/2015,Feb,2015,Other Public Authority Therms,349242,Other Public Authority Count,111
02/01/2015,Feb,2015,Residential Therms,1778544,Residential Count,56778
03/01/2015,Mar,2015,Commercial Therms,1315061,Commercial Count,2202
03/01/2015,Mar,2015,Interdepartmental Therms,50584,Interdepartmental Count,111
03/01/2015,Mar,2015,Other Public Authority Therms,270704,Other Public Authority Count,111
03/01/2015,Mar,2015,Residential Therms,1284697,Residential Count,57294
04/01/2015,Apr,2015,Commercial Therms,1132566,Commercial Count,2224
04/01/2015,Apr,2015,Interdepartmental Therms,49554,Interdepartmental Count,112
04/01/2015,Apr,2015,Other Public Authority Therms,236276,Other Public Authority Count,113
04/01/2015,Apr,2015,Residential Therms,945445,Residential Count,56955
05/01/2015,May,2015,Commercial Therms,1029277,Commercial Count,2211
05/01/2015,May,2015,Interdepartmental Therms,51769,Interdepartmental Count,111
05/01/2015,May,2015,Other Public Authority Therms,242332,Other Public Authority Count,113
05/01/2015,May,2015,Residential Therms,779920,Residential Count,56775
06/01/2015,Jun,2015,Commercial Therms,955256,Commercial Count,2206
06/01/2015,Jun,2015,Interdepartmental Therms,55736,Interdepartmental Count,111
06/01/2015,Jun,2015,Other Public Authority Therms,237948,Other Public Authority Count,113
06/01/2015,Jun,2015,Residential Therms,645832,Residential Count,56786
07/01/2015,Jul,2015,Commercial Therms,793851,Commercial Count,2196
07/01/2015,Jul,2015,Interdepartmental Therms,56977,Interdepartmental Count,112
07/01/2015,Jul,2015,Other Public Authority Therms,191389,Other Public Authority Count,113
07/01/2015,Jul,2015,Residential Therms,482684,Residential Count,56183
08/01/2015,Aug,2015,Commercial Therms,762333,Commercial Count,2195
08/01/2015,Aug,2015,Interdepartmental Therms,54882,Interdepartmental Count,111
08/01/2015,Aug,2015,Other Public Authority Therms,191263,Other Public Authority Count,112
08/01/2015,Aug,2015,Residential Therms,433633,Residential Count,56240
09/01/2015,Sep,2015,Commercial Therms,773907,Commercial Count,2205
09/01/2015,Sep,2015,Interdepartmental Therms,48664,Interdepartmental Count,111
09/01/2015,Sep,2015,Other Public Authority Therms,197827,Other Public Authority Count,112
09/01/2015,Sep,2015,Residential Therms,448301,Residential Count,56589
10/01/2015,Oct,2015,Commercial Therms,806520,Commercial Count,2211
10/01/2015,Oct,2015,Interdepartmental Therms,53248,Interdepartmental Count,112
10/01/2015,Oct,2015,Other Public Authority Therms,220607,Other Public Authority Count,112
10/01/2015,Oct,2015,Residential Therms,506455,Residential Count,56673
11/01/2015,Nov,2015,Commercial Therms,947908,Commercial Count,2208
11/01/2015,Nov,2015,Interdepartmental Therms,59358,Interdepartmental Count,113
11/01/2015,Nov,2015,Other Public Authority Therms,271629,Other Public Authority Count,112
11/01/2015,Nov,2015,Residential Therms,812889,Residential Count,57327
12/01/2015,Dec,2015,Commercial Therms,1301989,Commercial Count,2217
12/01/2015,Dec,2015,Interdepartmental Therms,83449,Interdepartmental Count,113
12/01/2015,Dec,2015,Other Public Authority Therms,286300,Other Public Authority Count,112
12/01/2015,Dec,2015,Residential Therms,2021173,Residential Count,57708
01/01/2016,Jan,2016,Commercial Therms,1504224,Commercial Count,2232
01/01/2016,Jan,2016,Interdepartmental Therms,93166,Interdepartmental Count,113
01/01/2016,Jan,2016,Other Public Authority Therms,423736,Other Public Authority Count,113
01/01/2016,Jan,2016,Residential Therms,3275632,Residential Count,57775
02/01/2016,Feb,2016,Commercial Therms,1563168,Commercial Count,2241
02/01/2016,Feb,2016,Interdepartmental Therms,98818,Interdepartmental Count,114
02/01/2016,Feb,2016,Other Public Authority Therms,422095,Other Public Authority Count,112
02/01/2016,Feb,2016,Residential Therms,2696591,Residential Count,58131
03/01/2016,Mar,2016,Commercial Therms,1350672,Commercial Count,2238
03/01/2016,Mar,2016,Interdepartmental Therms,78050,Interdepartmental Count,112
03/01/2016,Mar,2016,Other Public Authority Therms,304451,Other Public Authority Count,114
03/01/2016,Mar,2016,Residential Therms,1361274,Residential Count,58307
04/01/2016,Apr,2016,Commercial Therms,1158354,Commercial Count,2280
04/01/2016,Apr,2016,Interdepartmental Therms,69339,Interdepartmental Count,112
04/01/2016,Apr,2016,Other Public Authority Therms,284560,Other Public Authority Count,113
04/01/2016,Apr,2016,Residential Therms,1058755,Residential Count,58315
05/01/2016,May,2016,Commercial Therms,1001418,Commercial Count,2238
05/01/2016,May,2016,Interdepartmental Therms,59364,Interdepartmental Count,112
05/01/2016,May,2016,Other Public Authority Therms,269804,Other Public Authority Count,113
05/01/2016,May,2016,Residential Therms,786413,Residential Count,58016
06/01/2016,Jun,2016,Commercial Therms,937071,Commercial Count,2252
06/01/2016,Jun,2016,Interdepartmental Therms,61242,Interdepartmental Count,112
06/01/2016,Jun,2016,Other Public Authority Therms,238416,Other Public Authority Count,112
06/01/2016,Jun,2016,Residential Therms,644931,Residential Count,57908
07/01/2016,Jul,2016,Commercial Therms,805832,Commercial Count,2231
07/01/2016,Jul,2016,Interdepartmental Therms,57154,Interdepartmental Count,115
07/01/2016,Jul,2016,Other Public Authority Therms,204207,Other Public Authority Count,113
07/01/2016,Jul,2016,Residential Therms,497001,Residential Count,57414
08/01/2016,Aug,2016,Commercial Therms,765875,Commercial Count,2231
08/01/2016,Aug,2016,Interdepartmental Therms,52603,Interdepartmental Count,115
08/01/2016,Aug,2016,Other Public Authority Therms,204969,Other Public Authority Count,112
08/01/2016,Aug,2016,Residential Therms,438416,Residential Count,57491
09/01/2016,Sep,2016,Commercial Therms,757897,Commercial Count,2229
09/01/2016,Sep,2016,Interdepartmental Therms,58442,Interdepartmental Count,115
09/01/2016,Sep,2016,Other Public Authority Therms,218992,Other Public Authority Count,112
09/01/2016,Sep,2016,Residential Therms,481268,Residential Count,57587
10/01/2016,Oct,2016,Commercial Therms,871025,Commercial Count,2227
10/01/2016,Oct,2016,Interdepartmental Therms,63461,Interdepartmental Count,115
10/01/2016,Oct,2016,Other Public Authority Therms,241116,Other Public Authority Count,112
10/01/2016,Oct,2016,Residential Therms,568658,Residential Count,57920
11/01/2016,Nov,2016,Commercial Therms,928775,Commercial Count,2234
11/01/2016,Nov,2016,Interdepartmental Therms,63854,Interdepartmental Count,115
11/01/2016,Nov,2016,Other Public Authority Therms,272169,Other Public Authority Count,112
11/01/2016,Nov,2016,Residential Therms,710558,Residential Count,58461
12/01/2016,Dec,2016,Commercial Therms,1202908,Commercial Count,2247
12/01/2016,Dec,2016,Interdepartmental Therms,63685,Interdepartmental Count,116
12/01/2016,Dec,2016,Other Public Authority Therms,334284,Other Public Authority Count,112
12/01/2016,Dec,2016,Residential Therms,1509270,Residential Count,58821
01/01/2017,Jan,2017,Commercial Therms,1429947,Commercial Count,2256
01/01/2017,Jan,2017,Interdepartmental Therms,113064,Interdepartmental Count,116
01/01/2017,Jan,2017,Other Public Authority Therms,371933,Other Public Authority Count,113
01/01/2017,Jan,2017,Residential Therms,2284325,Residential Count,59047
02/01/2017,Feb,2017,Commercial Therms,1442389,Commercial Count,2245
02/01/2017,Feb,2017,Interdepartmental Therms,49390,Interdepartmental Count,117
02/01/2017,Feb,2017,Other Public Authority Therms,380007,Other Public Authority Count,113
02/01/2017,Feb,2017,Residential Therms,2344598,Residential Count,59265
03/01/2017,Mar,2017,Commercial Therms,1316079,Commercial Count,2254
03/01/2017,Mar,2017,Interdepartmental Therms,35990,Interdepartmental Count,116
03/01/2017,Mar,2017,Other Public Authority Therms,263562,Other Public Authority Count,113
03/01/2017,Mar,2017,Residential Therms,1555977,Residential Count,59417
04/01/2017,Apr,2017,Commercial Therms,1124986,Commercial Count,2257
04/01/2017,Apr,2017,Interdepartmental Therms,26145,Interdepartmental Count,115
04/01/2017,Apr,2017,Other Public Authority Therms,279151,Other Public Authority Count,113
04/01/2017,Apr,2017,Residential Therms,1020892,Residential Count,59781
05/01/2017,May,2017,Commercial Therms,1043601,Commercial Count,2264
05/01/2017,May,2017,Interdepartmental Therms,20591,Interdepartmental Count,116
05/01/2017,May,2017,Other Public Authority Therms,242502,Other Public Authority Count,113
