SiteCode,MT,MTLabel,MTGroup,DateOut,NetSTN,BillCustomerType
27,100,Refuse,REFUSE,2022-08-31,0.84,AR
27,100,Refuse,REFUSE,2022-08-31,0.22,AR
27,100,Refuse,REFUSE,2022-08-31,2.61,Special Ops
27,100,Refuse,REFUSE,2022-08-31,1.07,Special Ops
27,100,Refuse,REFUSE,2022-08-31,8.29,Contained
NG,100,Refuse,REFUSE,2022-08-31,6.46,Uncontained
27,100,Refuse,REFUSE,2022-08-31,10.83,Contained
NG,200,Recycle,RECYCLE,2022-08-31,0.47,Special Ops
27,100,Refuse,REFUSE,2022-08-31,0.27,AR
27,200,Recycle,RECYCLE,2022-08-31,3.96,Contained
27,100,Refuse,REFUSE,2022-08-31,10.4,Contained
27,100,Refuse,REFUSE,2022-08-31,0.41,AR
NG,200,Recycle,RECYCLE,2022-08-31,0.9,Special Ops
NG,100,Refuse,REFUSE,2022-08-31,5.57,Other Dept
27,100,Refuse,REFUSE,2022-08-31,7.87,Contained
27,100,Refuse,REFUSE,2022-08-31,13.9,Other Dept
27,100,Refuse,REFUSE,2022-08-31,9.24,Contained
NG,200,Recycle,RECYCLE,2022-08-31,0.75,Special Ops
27,200,Recycle,RECYCLE,2022-08-31,5.12,Contained
27,200,Recycle,RECYCLE,2022-08-31,4.8,Contained
27,300,Green,GREEN,2022-08-31,0.75,Other Dept
27,200,Recycle,RECYCLE,2022-08-31,3.97,Contained
27,200,Recycle,RECYCLE,2022-08-31,4.29,Contained
27,200,Recycle,RECYCLE,2022-08-31,1.44,Other
27,100,Refuse,REFUSE,2022-08-31,1.1,Other Dept
27,100,Refuse,REFUSE,2022-08-31,7.6,Contained
27,100,Refuse,REFUSE,2022-08-31,7.77,Contained
27,100,Refuse,REFUSE,2022-08-31,0.91,Special Ops
27,100,Refuse,REFUSE,2022-08-31,9.28,Contained
NG,100,Refuse,REFUSE,2022-08-31,1.44,AR
27,200,Recycle,RECYCLE,2022-08-31,3.29,Special Ops
27,100,Refuse,REFUSE,2022-08-31,6.8,Other Dept
27,100,Refuse,REFUSE,2022-08-31,1.17,AR
27,100,Refuse,REFUSE,2022-08-31,6.61,Contained
27,100,Refuse,REFUSE,2022-08-31,9.88,Other Dept
27,200,Recycle,RECYCLE,2022-08-31,1.99,Special Ops
27,100,Refuse,REFUSE,2022-08-31,1.38,AR
27,100,Refuse,REFUSE,2022-08-31,1.29,Other Dept
27,100,Refuse,REFUSE,2022-08-31,8.92,Contained
27,200,Recycle,RECYCLE,2022-08-31,1.07,Special Ops
27,200,Recycle,RECYCLE,2022-08-31,2.14,Contained
NG,100,Refuse,REFUSE,2022-08-31,1.54,Special Ops
27,200,Recycle,RECYCLE,2022-08-31,2.85,Other
NG,100,Refuse,REFUSE,2022-08-31,6.89,Uncontained
27,100,Refuse,REFUSE,2022-08-31,8.48,Contained
NG,100,Refuse,REFUSE,2022-08-31,7.18,Uncontained
27,200,Recycle,RECYCLE,2022-08-31,2.26,Contained
27,100,Refuse,REFUSE,2022-08-31,2.3,AR
NG,100,Refuse,REFUSE,2022-08-31,0.97,Special Ops
27,100,Refuse,REFUSE,2022-08-31,7.59,Contained
27,100,Refuse,REFUSE,2022-08-31,9.91,Contained
27,100,Refuse,REFUSE,2022-08-31,8.36,Contained
27,100,Refuse,REFUSE,2022-08-31,9.25,Contained
27,100,Refuse,REFUSE,2022-08-31,10.75,Contained
27,100,Refuse,REFUSE,2022-08-31,8.27,Contained
27,200,Recycle,RECYCLE,2022-08-31,0.72,Special Ops
27,100,Refuse,REFUSE,2022-08-31,8.07,Contained
NG,100,Refuse,REFUSE,2022-08-31,3.85,Other Dept
27,200,Recycle,RECYCLE,2022-08-31,1.29,Other
27,100,Refuse,REFUSE,2022-08-31,5.81,Contained
27,200,Recycle,RECYCLE,2022-08-31,5.32,Contained
27,200,Recycle,RECYCLE,2022-08-31,7.18,Contained
NG,100,Refuse,REFUSE,2022-08-31,6.89,Uncontained
NG,100,Refuse,REFUSE,2022-08-31,6.75,Uncontained
27,100,Refuse,REFUSE,2022-08-31,7.6,Contained
27,100,Refuse,REFUSE,2022-08-31,1.77,AR
27,100,Refuse,REFUSE,2022-08-31,0.68,AR
27,200,Recycle,RECYCLE,2022-08-31,3.17,Special Ops
SR,476,Dewatered Sludge,LANDFILL,2022-08-31,24.23,Other Dept
27,100,Refuse,REFUSE,2022-08-31,8.85,Contained
27,100,Refuse,REFUSE,2022-08-31,0.8,Special Ops
27,200,Recycle,RECYCLE,2022-08-31,7.66,Contained
27,100,Refuse,REFUSE,2022-08-31,6.39,Contained
27,100,Refuse,REFUSE,2022-08-31,8.68,Contained
NG,100,Refuse,REFUSE,2022-08-31,10.78,Contained
27,200,Recycle,RECYCLE,2022-08-31,0.73,Special Ops
27,100,Refuse,REFUSE,2022-08-31,9.66,Contained
NG,100,Refuse,REFUSE,2022-08-31,7.47,Uncontained
NG,100,Refuse,REFUSE,2022-08-31,6.21,Uncontained
NG,100,Refuse,REFUSE,2022-08-31,0.93,Special Ops
NG,100,Refuse,REFUSE,2022-08-31,8.04,Uncontained
27,200,Recycle,RECYCLE,2022-08-31,0.67,Special Ops
27,100,Refuse,REFUSE,2022-08-31,8.33,Contained
27,200,Recycle,RECYCLE,2022-08-31,5.14,Contained
27,100,Refuse,REFUSE,2022-08-31,0.97,AR
27,200,Recycle,RECYCLE,2022-08-31,2.96,Contained
27,200,Recycle,RECYCLE,2022-08-31,2.19,Special Ops
SR,476,Dewatered Sludge,LANDFILL,2022-08-31,23.99,Other Dept
27,200,Recycle,RECYCLE,2022-08-31,4.27,Contained
27,100,Refuse,REFUSE,2022-08-31,10.84,Contained
27,100,Refuse,REFUSE,2022-08-31,8.49,Contained
27,200,Recycle,RECYCLE,2022-08-31,3.37,Contained
27,100,Refuse,REFUSE,2022-08-31,6.42,Contained
