SiteCode,MT,MTLabel,MTGroup,DateOut,NetSTN,BillCustomerType
NG,100,Refuse,REFUSE,2022-02-28,0.37,Commercial
NG,100,Refuse,REFUSE,2022-02-28,0.81,Commercial
27,100,Refuse,REFUSE,2022-02-28,0.41,Commercial
27,100,Refuse,REFUSE,2022-02-28,1.06,Commercial
NG,100,Refuse,REFUSE,2022-02-28,0.19,Commercial
NG,100,Refuse,REFUSE,2022-02-28,0.52,Commercial
27,100,Refuse,REFUSE,2022-02-28,0.89,Commercial
NG,100,Refuse,REFUSE,2022-02-28,1.32,Commercial
27,100,Refuse,REFUSE,2022-02-28,1.5,Commercial
27,100,Refuse,REFUSE,2022-02-28,0.68,Commercial
NG,100,Refuse,REFUSE,2022-02-28,0.41,Commercial
27,100,Refuse,REFUSE,2022-02-28,0.3,Commercial
NG,100,Refuse,REFUSE,2022-02-28,1.38,Commercial
27,300,Green,GREEN,2022-02-28,0.85,Commercial
NG,100,Refuse,REFUSE,2022-02-28,0.6,Commercial
NG,100,Refuse,REFUSE,2022-02-28,0.6,Commercial
NG,100,Refuse,REFUSE,2022-02-28,1.56,Commercial
27,100,Refuse,REFUSE,2022-02-28,1.14,Commercial
27,100,Refuse,REFUSE,2022-02-28,1.21,Commercial
27,100,Refuse,REFUSE,2022-02-28,10.95,Contained
NG,100,Refuse,REFUSE,2022-02-28,1.24,Commercial
27,100,Refuse,REFUSE,2022-02-28,4.61,Commercial
NG,100,Refuse,REFUSE,2022-02-28,0.98,Commercial
NG,100,Refuse,REFUSE,2022-02-28,1.06,Commercial
NG,100,Refuse,REFUSE,2022-02-28,1.27,Commercial
NG,100,Refuse,REFUSE,2022-02-28,2.21,Commercial
27,100,Refuse,REFUSE,2022-02-28,2.62,Commercial
NG,100,Refuse,REFUSE,2022-02-28,0.95,Commercial
27,100,Refuse,REFUSE,2022-02-28,0.69,Residential
NG,100,Refuse,REFUSE,2022-02-28,1.26,Residential
NG,100,Refuse,REFUSE,2022-02-28,0.91,Commercial
NG,100,Refuse,REFUSE,2022-02-28,0.47,Commercial
NG,100,Refuse,REFUSE,2022-02-28,0.33,Commercial
NG,100,Refuse,REFUSE,2022-02-28,1.02,Commercial
27,100,Refuse,REFUSE,2022-02-28,0.17,Commercial
NG,100,Refuse,REFUSE,2022-02-28,1.07,Commercial
27,100,Refuse,REFUSE,2022-02-28,1.07,Commercial
