SiteCode,MT,MTLabel,MTGroup,DateOut,NetSTN,BillCustomerType
27,100,Refuse,REFUSE,2022-03-31,7.63,Contained
27,100,Refuse,REFUSE,2022-03-31,4.54,Special Ops
27,100,Refuse,REFUSE,2022-03-31,0.48,Special Ops
27,100,Refuse,REFUSE,2022-03-31,1.91,Non-Profit
27,100,Refuse,REFUSE,2022-03-31,7.47,Contained
27,100,Refuse,REFUSE,2022-03-31,1.17,Special Ops
27,200,Recycle,RECYCLE,2022-03-31,2.78,Contained
27,100,Refuse,REFUSE,2022-03-31,9.38,Contained
27,100,Refuse,REFUSE,2022-03-31,6.91,Uncontained
27,100,Refuse,REFUSE,2022-03-31,8.81,Uncontained
NG,100,Refuse,REFUSE,2022-03-31,1.12,Special Ops
27,100,Refuse,REFUSE,2022-03-31,8.3,Contained
27,200,Recycle,RECYCLE,2022-03-31,4.25,AR
27,100,Refuse,REFUSE,2022-03-31,10.29,Contained
27,100,Refuse,REFUSE,2022-03-31,7.49,Uncontained
27,100,Refuse,REFUSE,2022-03-31,5,Special Ops
27,100,Refuse,REFUSE,2022-03-31,7.17,Uncontained
27,200,Recycle,RECYCLE,2022-03-31,5.47,AR
27,200,Recycle,RECYCLE,2022-03-31,5.59,AR
27,200,Recycle,RECYCLE,2022-03-31,5.16,AR
27,100,Refuse,REFUSE,2022-03-31,6.16,Contained
27,200,Recycle,RECYCLE,2022-03-31,4.54,Contained
27,100,Refuse,REFUSE,2022-03-31,6.3,Uncontained
27,200,Recycle,RECYCLE,2022-03-31,5.36,AR
27,100,Refuse,REFUSE,2022-03-31,9.32,Contained
27,100,Refuse,REFUSE,2022-03-31,7.6,Contained
27,200,Recycle,RECYCLE,2022-03-31,3.01,Contained
27,100,Refuse,REFUSE,2022-03-31,4.03,Uncontained
27,200,Recycle,RECYCLE,2022-03-31,2.74,Contained
27,200,Recycle,RECYCLE,2022-03-31,3.65,Contained
27,200,Recycle,RECYCLE,2022-03-31,1.09,Special Ops
27,200,Recycle,RECYCLE,2022-03-31,4.6,Contained
27,100,Refuse,REFUSE,2022-03-31,6.81,Contained
27,200,Recycle,RECYCLE,2022-03-31,2.16,Contained
27,100,Refuse,REFUSE,2022-03-31,8.56,Contained
27,200,Recycle,RECYCLE,2022-03-31,9.3,Special Ops
27,200,Recycle,RECYCLE,2022-03-31,2.61,Special Ops
27,100,Refuse,REFUSE,2022-03-31,7.82,Contained
27,100,Refuse,REFUSE,2022-03-31,7.85,Contained
27,100,Refuse,REFUSE,2022-03-31,9.45,Contained
27,100,Refuse,REFUSE,2022-03-31,9.06,Contained
27,100,Refuse,REFUSE,2022-03-31,2.77,Contained
27,200,Recycle,RECYCLE,2022-03-31,1.71,Special Ops
27,200,Recycle,RECYCLE,2022-03-31,3.44,Contained
27,200,Recycle,RECYCLE,2022-03-31,5.33,Contained
27,100,Refuse,REFUSE,2022-03-31,5.95,Uncontained
27,100,Refuse,REFUSE,2022-03-31,5.7,Uncontained
27,100,Refuse,REFUSE,2022-03-31,7.73,Contained
27,200,Recycle,RECYCLE,2022-03-31,4.98,AR
27,200,Recycle,RECYCLE,2022-03-31,1.49,Special Ops
27,100,Refuse,REFUSE,2022-03-31,7.05,Contained
27,200,Recycle,RECYCLE,2022-03-31,6.08,Special Ops
27,200,Recycle,RECYCLE,2022-03-31,2.66,Contained
27,100,Refuse,REFUSE,2022-03-31,11.69,Contained
27,100,Refuse,REFUSE,2022-03-31,10.1,Contained
27,100,Refuse,REFUSE,2022-03-31,7.65,Uncontained
27,100,Refuse,REFUSE,2022-03-31,4.54,Uncontained
27,200,Recycle,RECYCLE,2022-03-31,0.72,Special Ops
