SiteCode,MT,MTLabel,MTGroup,DateOut,NetSTN,BillCustomerType
27,100,Refuse,REFUSE,2022-05-31,1.34,Special Ops
27,200,Recycle,RECYCLE,2022-05-31,6.89,Contained
27,100,Refuse,REFUSE,2022-05-31,8.76,Contained
27,200,Recycle,RECYCLE,2022-05-31,5.1,Contained
27,200,Recycle,RECYCLE,2022-05-31,4.4,Contained
27,100,Refuse,REFUSE,2022-05-31,8.08,Contained
27,100,Refuse,REFUSE,2022-05-31,6.65,Contained
27,100,Refuse,REFUSE,2022-05-31,9.42,Contained
27,100,Refuse,REFUSE,2022-05-31,1.09,Special Ops
27,200,Recycle,RECYCLE,2022-05-31,5.51,Contained
27,200,Recycle,RECYCLE,2022-05-31,5.6,Contained
27,200,Recycle,RECYCLE,2022-05-31,7.92,Contained
27,100,Refuse,REFUSE,2022-05-31,7.46,Contained
27,200,Recycle,RECYCLE,2022-05-31,4.41,Contained
27,100,Refuse,REFUSE,2022-05-31,0.64,Special Ops
27,100,Refuse,REFUSE,2022-05-31,9.88,Contained
27,200,Recycle,RECYCLE,2022-05-31,1.04,Contained
27,100,Refuse,REFUSE,2022-05-31,8.48,Contained
NG,100,Refuse,REFUSE,2022-05-31,1.52,AR
27,100,Refuse,REFUSE,2022-05-31,0.9,Other Dept
NG,200,Recycle,RECYCLE,2022-05-31,0.88,Special Ops
27,100,Refuse,REFUSE,2022-05-31,9.66,Contained
NG,100,Refuse,REFUSE,2022-05-31,7.47,Uncontained
27,100,Refuse,REFUSE,2022-05-31,7.83,Contained
NG,100,Refuse,REFUSE,2022-05-31,1.15,Special Ops
27,100,Refuse,REFUSE,2022-05-31,9.47,Contained
27,100,Refuse,REFUSE,2022-05-31,6.78,Other Dept
27,200,Recycle,RECYCLE,2022-05-31,6.25,Contained
NG,100,Refuse,REFUSE,2022-05-31,0.73,Special Ops
NG,300,Green,GREEN,2022-05-31,0.94,AR
NG,100,Refuse,REFUSE,2022-05-31,0.46,AR
27,200,Recycle,RECYCLE,2022-05-31,2.31,Special Ops
27,100,Refuse,REFUSE,2022-05-31,8.41,Contained
27,100,Refuse,REFUSE,2022-05-31,8.61,Contained
27,100,Refuse,REFUSE,2022-05-31,0.94,Special Ops
27,100,Refuse,REFUSE,2022-05-31,7.31,Contained
27,200,Recycle,RECYCLE,2022-05-31,1.99,Special Ops
27,100,Refuse,REFUSE,2022-05-31,1.28,Special Ops
27,100,Refuse,REFUSE,2022-05-31,7.84,Contained
27,100,Refuse,REFUSE,2022-05-31,2.09,Contained
NG,100,Refuse,REFUSE,2022-05-31,4.53,Uncontained
27,200,Recycle,RECYCLE,2022-05-31,3.49,Contained
NG,100,Refuse,REFUSE,2022-05-31,5.87,Uncontained
27,100,Refuse,REFUSE,2022-05-31,12.12,Contained
27,100,Refuse,REFUSE,2022-05-31,2.39,Contained
27,100,Refuse,REFUSE,2022-05-31,10.46,Contained
27,200,Recycle,RECYCLE,2022-05-31,6.87,Contained
NG,100,Refuse,REFUSE,2022-05-31,8.15,Uncontained
NG,100,Refuse,REFUSE,2022-05-31,7.1,Contained
27,100,Refuse,REFUSE,2022-05-31,10.12,Special Ops
27,100,Refuse,REFUSE,2022-05-31,11.41,Contained
27,100,Refuse,REFUSE,2022-05-31,2.73,Special Ops
27,100,Refuse,REFUSE,2022-05-31,2.39,Special Ops
NG,100,Refuse,REFUSE,2022-05-31,7.17,Uncontained
27,100,Refuse,REFUSE,2022-05-31,0.42,AR
27,100,Refuse,REFUSE,2022-05-31,0.51,Special Ops
27,100,Refuse,REFUSE,2022-05-31,9.72,Contained
27,100,Refuse,REFUSE,2022-05-31,7.79,Uncontained
27,100,Refuse,REFUSE,2022-05-31,7.66,Uncontained
27,100,Refuse,REFUSE,2022-05-31,1.57,Special Ops
27,100,Refuse,REFUSE,2022-05-31,8.05,Contained
27,100,Refuse,REFUSE,2022-05-31,13.48,Contained
NG,100,Refuse,REFUSE,2022-05-31,4,AR
27,100,Refuse,REFUSE,2022-05-31,9.51,Contained
NG,100,Refuse,REFUSE,2022-05-31,6.63,Uncontained
27,100,Refuse,REFUSE,2022-05-31,9.58,Contained
27,100,Refuse,REFUSE,2022-05-31,7.74,Contained
27,100,Refuse,REFUSE,2022-05-31,5.68,Special Ops
27,200,Recycle,RECYCLE,2022-05-31,5.55,Contained
27,100,Refuse,REFUSE,2022-05-31,3.53,Uncontained
27,200,Recycle,RECYCLE,2022-05-31,6.6,Contained
NG,100,Refuse,REFUSE,2022-05-31,7.17,Uncontained
27,100,Refuse,REFUSE,2022-05-31,9.29,Contained
27,100,Refuse,REFUSE,2022-05-31,7.56,Contained
27,100,Refuse,REFUSE,2022-05-31,8.34,Contained
27,100,Refuse,REFUSE,2022-05-31,0.73,Contained
27,300,Green,GREEN,2022-05-31,1.82,Contained
27,200,Recycle,RECYCLE,2022-05-31,1.21,Special Ops
27,100,Refuse,REFUSE,2022-05-31,3.25,Special Ops
27,200,Recycle,RECYCLE,2022-05-31,3.21,Contained
27,100,Refuse,REFUSE,2022-05-31,2.89,Special Ops
27,100,Refuse,REFUSE,2022-05-31,9.62,Contained
27,100,Refuse,REFUSE,2022-05-31,1.34,Non-Profit
27,100,Refuse,REFUSE,2022-05-31,8.96,Contained
27,100,Refuse,REFUSE,2022-05-31,7.86,Contained
27,100,Refuse,REFUSE,2022-05-31,8.23,Contained
27,100,Refuse,REFUSE,2022-05-31,9.09,Contained
NG,100,Refuse,REFUSE,2022-05-31,5.7,Uncontained
27,100,Refuse,REFUSE,2022-05-31,9.66,Contained
27,100,Refuse,REFUSE,2022-05-31,12.04,Contained
27,100,Refuse,REFUSE,2022-05-31,9.45,Contained
27,100,Refuse,REFUSE,2022-05-31,7.83,Contained
27,100,Refuse,REFUSE,2022-05-31,6.46,Contained
27,100,Refuse,REFUSE,2022-05-31,3.03,Special Ops
