SiteCode,MT,MTLabel,MTGroup,DateOut,NetSTN,BillCustomerType
NG,200,Recycle,RECYCLE,2022-11-30,14.34,AR
NG,200,Recycle,RECYCLE,2022-11-30,17.62,AR
NG,200,Recycle,RECYCLE,2022-11-30,14.54,Reciprocal
NG,100,Refuse,REFUSE,2022-11-30,4.44,Reciprocal
27,100,Refuse,REFUSE,2022-11-30,4.35,Non-Profit
27,100,Refuse,REFUSE,2022-11-30,2.2,AR
NG,200,Recycle,RECYCLE,2022-11-30,4.41,Reciprocal
27,100,Refuse,REFUSE,2022-11-30,7.87,Uncontained
27,200,Recycle,RECYCLE,2022-11-30,4.84,Contained
27,200,Recycle,RECYCLE,2022-11-30,4.05,Contained
27,200,Recycle,RECYCLE,2022-11-30,5.51,Contained
27,200,Recycle,RECYCLE,2022-11-30,4.57,Contained
27,100,Refuse,REFUSE,2022-11-30,10.73,Uncontained
27,100,Refuse,REFUSE,2022-11-30,8.64,Uncontained
27,100,Refuse,REFUSE,2022-11-30,11.47,Uncontained
27,300,Green,GREEN,2022-11-30,2.61,Contained
27,200,Recycle,RECYCLE,2022-11-30,3.69,Contained
27,200,Recycle,RECYCLE,2022-11-30,3.4,Contained
27,200,Recycle,RECYCLE,2022-11-30,3.47,Contained
27,200,Recycle,RECYCLE,2022-11-30,1.38,Contained
NG,100,Refuse,REFUSE,2022-11-30,0.93,AR
NG,100,Refuse,REFUSE,2022-11-30,0.65,AR
27,100,Refuse,REFUSE,2022-11-30,0.91,AR
27,100,Refuse,REFUSE,2022-11-30,2.43,AR
27,100,Refuse,REFUSE,2022-11-30,9.56,Uncontained
NG,200,Recycle,RECYCLE,2022-11-30,12.6,Reciprocal
27,100,Refuse,REFUSE,2022-11-30,9.2,Uncontained
NG,100,Refuse,REFUSE,2022-11-30,0.89,Reciprocal
27,302,Food,GREEN,2022-11-30,4.61,Reciprocal
NG,100,Refuse,REFUSE,2022-11-30,2.12,AR
27,100,Refuse,REFUSE,2022-11-30,0.24,Other Dept
NG,100,Refuse,REFUSE,2022-11-30,1.89,Other Dept
NG,100,Refuse,REFUSE,2022-11-30,4.07,Uncontained
27,300,Green,GREEN,2022-11-30,3.65,Contained
NG,100,Refuse,REFUSE,2022-11-30,0.22,AR
27,200,Recycle,RECYCLE,2022-11-30,4.89,Contained
27,200,Recycle,RECYCLE,2022-11-30,3.15,Contained
27,200,Recycle,RECYCLE,2022-11-30,5.32,Contained
27,200,Recycle,RECYCLE,2022-11-30,3.63,Contained
SR,476,Dewatered Sludge,LANDFILL,2022-11-30,25.63,Other Dept
27,100,Refuse,REFUSE,2022-11-30,5.78,AR
27,100,Refuse,REFUSE,2022-11-30,9.42,Contained
27,300,Green,GREEN,2022-11-30,1.04,AR
NG,200,Recycle,RECYCLE,2022-11-30,4.39,Contained
NG,200,Recycle,RECYCLE,2022-11-30,11.98,Reciprocal
27,100,Refuse,REFUSE,2022-11-30,12.2,Contained
27,100,Refuse,REFUSE,2022-11-30,7.91,Uncontained
NG,100,Refuse,REFUSE,2022-11-30,0.48,Reciprocal
27,300,Green,GREEN,2022-11-30,3.73,Other Dept
27,100,Refuse,REFUSE,2022-11-30,6.29,Reciprocal
NG,300,Green,GREEN,2022-11-30,2.74,AR
27,200,Recycle,RECYCLE,2022-11-30,5.19,Contained
NG,200,Recycle,RECYCLE,2022-11-30,12.68,Reciprocal
27,200,Recycle,RECYCLE,2022-11-30,5.46,Contained
27,100,Refuse,REFUSE,2022-11-30,8.88,Uncontained
NG,300,Green,GREEN,2022-11-30,4.58,AR
27,300,Green,GREEN,2022-11-30,4.63,Contained
27,200,Recycle,RECYCLE,2022-11-30,1.56,Contained
27,200,Recycle,RECYCLE,2022-11-30,1.3,Contained
27,200,Recycle,RECYCLE,2022-11-30,3.18,Contained
27,100,Refuse,REFUSE,2022-11-30,3.19,Contained
NG,100,Refuse,REFUSE,2022-11-30,4.77,AR
27,100,Refuse,REFUSE,2022-11-30,1.67,AR
27,100,Refuse,REFUSE,2022-11-30,2.43,AR
27,100,Refuse,REFUSE,2022-11-30,0.25,Reciprocal
NG,200,Recycle,RECYCLE,2022-11-30,4.26,Reciprocal
NG,200,Recycle,RECYCLE,2022-11-30,13.62,Reciprocal
NG,100,Refuse,REFUSE,2022-11-30,0.72,AR
27,100,Refuse,REFUSE,2022-11-30,1.34,Other Dept
NG,200,Recycle,RECYCLE,2022-11-30,5.49,Reciprocal
NG,200,Recycle,RECYCLE,2022-11-30,4.69,Reciprocal
NG,100,Refuse,REFUSE,2022-11-30,12.2,Reciprocal
NG,100,Refuse,REFUSE,2022-11-30,6.29,Uncontained
NG,200,Recycle,RECYCLE,2022-11-30,2.38,Reciprocal
27,300,Green,GREEN,2022-11-30,1.62,AR
27,100,Refuse,REFUSE,2022-11-30,11.76,Reciprocal
NG,100,Refuse,REFUSE,2022-11-30,3.96,AR
27,200,Recycle,RECYCLE,2022-11-30,1.28,Contained
27,100,Refuse,REFUSE,2022-11-30,6.88,Uncontained
27,200,Recycle,RECYCLE,2022-11-30,5.31,Contained
NG,100,Refuse,REFUSE,2022-11-30,1.56,AR
NG,200,Recycle,RECYCLE,2022-11-30,10.88,Reciprocal
NG,100,Refuse,REFUSE,2022-11-30,0.27,AR
27,100,Refuse,REFUSE,2022-11-30,6.36,Uncontained
NG,200,Recycle,RECYCLE,2022-11-30,5.5,Contained
27,200,Recycle,RECYCLE,2022-11-30,3.63,Contained
27,200,Recycle,RECYCLE,2022-11-30,1.41,Contained
27,200,Recycle,RECYCLE,2022-11-30,1.38,Contained
27,200,Recycle,RECYCLE,2022-11-30,2.85,Contained
NG,100,Refuse,REFUSE,2022-11-30,6.1,Other Dept
27,100,Refuse,REFUSE,2022-11-30,0.49,Special Ops
NG,100,Refuse,REFUSE,2022-11-30,1.08,AR
27,200,Recycle,RECYCLE,2022-11-30,0.61,Special Ops
NG,100,Refuse,REFUSE,2022-11-30,5.24,Other Dept
