SiteCode,MT,MTLabel,MTGroup,DateOut,NetSTN,BillCustomerType
NG,100,Refuse,REFUSE,2022-10-31,8.51,Contained
NG,200,Recycle,RECYCLE,2022-10-31,3.23,AR
NG,100,Refuse,REFUSE,2022-10-31,9.13,Contained
NG,200,Recycle,RECYCLE,2022-10-31,2.14,Contained
NG,200,Recycle,RECYCLE,2022-10-31,4.02,Contained
27,100,Refuse,REFUSE,2022-10-31,1.03,Reciprocal
27,100,Refuse,REFUSE,2022-10-31,5.55,Reciprocal
NG,200,Recycle,RECYCLE,2022-10-31,5.39,Contained
27,100,Refuse,REFUSE,2022-10-31,3.83,Reciprocal
NG,200,Recycle,RECYCLE,2022-10-31,4.54,Contained
27,100,Refuse,REFUSE,2022-10-31,0.11,Reciprocal
27,100,Refuse,REFUSE,2022-10-31,14.28,Reciprocal
27,100,Refuse,REFUSE,2022-10-31,0.85,Reciprocal
27,100,Refuse,REFUSE,2022-10-31,4.53,Reciprocal
NG,100,Refuse,REFUSE,2022-10-31,10.73,Contained
NG,100,Refuse,REFUSE,2022-10-31,9.22,Contained
NG,200,Recycle,RECYCLE,2022-10-31,3.17,Contained
27,100,Refuse,REFUSE,2022-10-31,7.12,Reciprocal
NG,100,Refuse,REFUSE,2022-10-31,7.83,Contained
NG,100,Refuse,REFUSE,2022-10-31,11.18,Contained
NG,100,Refuse,REFUSE,2022-10-31,1.58,Contained
NG,100,Refuse,REFUSE,2022-10-31,11.59,Contained
NG,200,Recycle,RECYCLE,2022-10-31,4.16,Contained
NG,200,Recycle,RECYCLE,2022-10-31,3.59,Contained
NG,200,Recycle,RECYCLE,2022-10-31,3.83,Contained
27,100,Refuse,REFUSE,2022-10-31,8.66,Reciprocal
27,100,Refuse,REFUSE,2022-10-31,0.57,Reciprocal
27,100,Refuse,REFUSE,2022-10-31,8.15,Reciprocal
NG,200,Recycle,RECYCLE,2022-10-31,3.37,AR
SR,100,Refuse,REFUSE,2022-10-31,4.3,AR
27,100,Refuse,REFUSE,2022-10-31,4.51,Reciprocal
27,100,Refuse,REFUSE,2022-10-31,7.25,Reciprocal
NG,100,Refuse,REFUSE,2022-10-31,0.44,AR
NG,100,Refuse,REFUSE,2022-10-31,7.61,Contained
27,100,Refuse,REFUSE,2022-10-31,0.67,Other Dept
NG,100,Refuse,REFUSE,2022-10-31,2.5,Contained
NG,200,Recycle,RECYCLE,2022-10-31,14.18,Reciprocal
27,100,Refuse,REFUSE,2022-10-31,4.96,Reciprocal
NG,200,Recycle,RECYCLE,2022-10-31,3.52,Contained
27,300,Green,GREEN,2022-10-31,0.79,AR
NG,100,Refuse,REFUSE,2022-10-31,0.87,AR
27,100,Refuse,REFUSE,2022-10-31,0.15,Reciprocal
NG,200,Recycle,RECYCLE,2022-10-31,0.77,Contained
27,100,Refuse,REFUSE,2022-10-31,1.55,Reciprocal
SR,100,Refuse,REFUSE,2022-10-31,10.1,AR
NG,100,Refuse,REFUSE,2022-10-31,12.36,Contained
NG,100,Refuse,REFUSE,2022-10-31,9.35,Contained
NG,200,Recycle,RECYCLE,2022-10-31,6.55,Contained
NG,100,Refuse,REFUSE,2022-10-31,4.89,Contained
NG,100,Refuse,REFUSE,2022-10-31,4.11,Contained
27,100,Refuse,REFUSE,2022-10-31,0.51,Other Dept
NG,100,Refuse,REFUSE,2022-10-31,6.41,Contained
NG,200,Recycle,RECYCLE,2022-10-31,2.32,Special Ops
NG,100,Refuse,REFUSE,2022-10-31,6.94,Uncontained
NG,200,Recycle,RECYCLE,2022-10-31,2.89,Contained
27,100,Refuse,REFUSE,2022-10-31,6.4,Reciprocal
27,100,Refuse,REFUSE,2022-10-31,4.73,Reciprocal
NG,200,Recycle,RECYCLE,2022-10-31,14.1,AR
27,100,Refuse,REFUSE,2022-10-31,12.3,Reciprocal
27,100,Refuse,REFUSE,2022-10-31,11.75,Reciprocal
