SiteCode,MT,MTLabel,MTGroup,DateOut,NetSTN,BillCustomerType
27,100,Refuse,REFUSE,2022-09-30,0.88,AR
27,100,Refuse,REFUSE,2022-09-30,3.93,AR
27,200,Recycle,RECYCLE,2022-09-30,1.71,Special Ops
NG,300,Green,GREEN,2022-09-30,1.75,Other Dept
NG,200,Recycle,RECYCLE,2022-09-30,0.7,Special Ops
NG,300,Green,GREEN,2022-09-30,3.12,Other Dept
NG,300,Green,GREEN,2022-09-30,2.87,Other Dept
27,100,Refuse,REFUSE,2022-09-30,0.85,AR
27,100,Refuse,REFUSE,2022-09-30,7.83,Contained
NG,200,Recycle,RECYCLE,2022-09-30,0.79,Special Ops
27,100,Refuse,REFUSE,2022-09-30,8.36,Contained
27,200,Recycle,RECYCLE,2022-09-30,1.76,Special Ops
NG,300,Green,GREEN,2022-09-30,4.8,Other Dept
NG,300,Green,GREEN,2022-09-30,7.91,Other Dept
27,100,Refuse,REFUSE,2022-09-30,1.73,Special Ops
27,100,Refuse,REFUSE,2022-09-30,6.65,Contained
27,200,Recycle,RECYCLE,2022-09-30,4.47,AR
27,200,Recycle,RECYCLE,2022-09-30,4.77,AR
NG,300,Green,GREEN,2022-09-30,3.46,Other Dept
27,100,Refuse,REFUSE,2022-09-30,8.78,Contained
27,200,Recycle,RECYCLE,2022-09-30,3.26,Contained
27,200,Recycle,RECYCLE,2022-09-30,0.56,Special Ops
NG,100,Refuse,REFUSE,2022-09-30,2.95,Other Dept
27,300,Green,GREEN,2022-09-30,3.3,Other Dept
27,100,Refuse,REFUSE,2022-09-30,0.82,Special Ops
NG,200,Recycle,RECYCLE,2022-09-30,4.02,Contained
27,300,Green,GREEN,2022-09-30,2.93,Special Ops
27,100,Refuse,REFUSE,2022-09-30,2.88,AR
27,100,Refuse,REFUSE,2022-09-30,9.22,Contained
27,100,Refuse,REFUSE,2022-09-30,11.15,Contained
27,100,Refuse,REFUSE,2022-09-30,14.91,Other Dept
27,100,Refuse,REFUSE,2022-09-30,7.16,Contained
27,200,Recycle,RECYCLE,2022-09-30,2.46,Contained
27,100,Refuse,REFUSE,2022-09-30,9.96,Contained
27,100,Refuse,REFUSE,2022-09-30,4.82,Special Ops
27,100,Refuse,REFUSE,2022-09-30,8.46,Contained
27,200,Recycle,RECYCLE,2022-09-30,4.03,AR
27,200,Recycle,RECYCLE,2022-09-30,2.97,AR
27,100,Refuse,REFUSE,2022-09-30,0.17,Contained
NG,300,Green,GREEN,2022-09-30,2.75,Other Dept
27,100,Refuse,REFUSE,2022-09-30,0.28,Non-Profit
27,100,Refuse,REFUSE,2022-09-30,9.2,Contained
27,100,Refuse,REFUSE,2022-09-30,3.3,AR
27,200,Recycle,RECYCLE,2022-09-30,0.36,Special Ops
NG,200,Recycle,RECYCLE,2022-09-30,0.94,Special Ops
NG,300,Green,GREEN,2022-09-30,4.05,Other Dept
27,100,Refuse,REFUSE,2022-09-30,1.22,AR
27,100,Refuse,REFUSE,2022-09-30,7.88,Contained
27,100,Refuse,REFUSE,2022-09-30,0.87,Special Ops
27,100,Refuse,REFUSE,2022-09-30,1.97,Non-Profit
27,100,Refuse,REFUSE,2022-09-30,7.83,Contained
27,100,Refuse,REFUSE,2022-09-30,4.94,Non-Profit
27,100,Refuse,REFUSE,2022-09-30,8.3,Contained
27,200,Recycle,RECYCLE,2022-09-30,3.11,Contained
27,100,Refuse,REFUSE,2022-09-30,11.47,Other Dept
27,200,Recycle,RECYCLE,2022-09-30,3.63,AR
27,200,Recycle,RECYCLE,2022-09-30,3.9,AR
NG,300,Green,GREEN,2022-09-30,11.12,Other Dept
27,200,Recycle,RECYCLE,2022-09-30,4.97,AR
27,200,Recycle,RECYCLE,2022-09-30,4.58,Contained
27,200,Recycle,RECYCLE,2022-09-30,0.5,Special Ops
NG,300,Green,GREEN,2022-09-30,3.41,Other Dept
27,100,Refuse,REFUSE,2022-09-30,8.23,Contained
NG,300,Green,GREEN,2022-09-30,2.53,Other Dept
27,100,Refuse,REFUSE,2022-09-30,9.34,Contained
27,200,Recycle,RECYCLE,2022-09-30,3.55,Special Ops
27,300,Green,GREEN,2022-09-30,3.7,Other Dept
27,100,Refuse,REFUSE,2022-09-30,8.11,Contained
27,100,Refuse,REFUSE,2022-09-30,1.04,AR
27,100,Refuse,REFUSE,2022-09-30,9.49,Special Ops
27,200,Recycle,RECYCLE,2022-09-30,2.91,AR
27,100,Refuse,REFUSE,2022-09-30,8.13,Contained
NG,100,Refuse,REFUSE,2022-09-30,1.15,Special Ops
NG,100,Refuse,REFUSE,2022-09-30,1.3,AR
27,100,Refuse,REFUSE,2022-09-30,3.22,Special Ops
NG,100,Refuse,REFUSE,2022-09-30,0.59,Special Ops
27,200,Recycle,RECYCLE,2022-09-30,3.51,Contained
27,100,Refuse,REFUSE,2022-09-30,2.61,Special Ops
27,100,Refuse,REFUSE,2022-09-30,7.47,Contained
27,200,Recycle,RECYCLE,2022-09-30,4.08,Contained
27,100,Refuse,REFUSE,2022-09-30,6.58,Contained
27,100,Refuse,REFUSE,2022-09-30,5.82,Contained
27,200,Recycle,RECYCLE,2022-09-30,3.56,Contained
27,300,Green,GREEN,2022-09-30,1.43,AR
NG,300,Green,GREEN,2022-09-30,3.19,Other Dept
NG,300,Green,GREEN,2022-09-30,9.47,Other Dept
27,200,Recycle,RECYCLE,2022-09-30,1.41,Contained
27,100,Refuse,REFUSE,2022-09-30,1.11,AR
27,100,Refuse,REFUSE,2022-09-30,10.75,Contained
27,200,Recycle,RECYCLE,2022-09-30,3.61,Contained
27,100,Refuse,REFUSE,2022-09-30,10.47,Contained
27,100,Refuse,REFUSE,2022-09-30,1.05,Other Dept
27,100,Refuse,REFUSE,2022-09-30,11.98,Contained
27,200,Recycle,RECYCLE,2022-09-30,2.18,Special Ops
NG,100,Refuse,REFUSE,2022-09-30,2.37,Special Ops
NG,100,Refuse,REFUSE,2022-09-30,8.6,Other Dept
27,200,Recycle,RECYCLE,2022-09-30,4.73,Contained
27,200,Recycle,RECYCLE,2022-09-30,4.82,AR
27,200,Recycle,RECYCLE,2022-09-30,4.38,Contained
27,200,Recycle,RECYCLE,2022-09-30,5.91,Contained
27,200,Recycle,RECYCLE,2022-09-30,4.42,Contained
27,200,Recycle,RECYCLE,2022-09-30,7.04,Contained
27,100,Refuse,REFUSE,2022-09-30,6.52,Contained
NG,100,Refuse,REFUSE,2022-09-30,1.75,AR
27,100,Refuse,REFUSE,2022-09-30,7.76,Contained
27,100,Refuse,REFUSE,2022-09-30,10.49,Contained
27,100,Refuse,REFUSE,2022-09-30,8,Contained
27,300,Green,GREEN,2022-09-30,4.85,Special Ops
27,100,Refuse,REFUSE,2022-09-30,0.34,AR
27,200,Recycle,RECYCLE,2022-09-30,2.78,AR
27,200,Recycle,RECYCLE,2022-09-30,2.78,AR
27,200,Recycle,RECYCLE,2022-09-30,4.51,Contained
27,100,Refuse,REFUSE,2022-09-30,0.97,Contained
27,100,Refuse,REFUSE,2022-09-30,4.65,Contained
NG,200,Recycle,RECYCLE,2022-09-30,1.72,Contained
27,100,Refuse,REFUSE,2022-09-30,7.76,Contained
27,200,Recycle,RECYCLE,2022-09-30,0.55,Special Ops
27,100,Refuse,REFUSE,2022-09-30,6.92,Contained
27,200,Recycle,RECYCLE,2022-09-30,3.09,Contained
27,200,Recycle,RECYCLE,2022-09-30,3.55,Contained
27,100,Refuse,REFUSE,2022-09-30,9.88,Contained
27,100,Refuse,REFUSE,2022-09-30,4.82,Contained
27,100,Refuse,REFUSE,2022-09-30,4.4,Contained
27,100,Refuse,REFUSE,2022-09-30,2.35,Contained
27,100,Refuse,REFUSE,2022-09-30,2.66,Contained
27,100,Refuse,REFUSE,2022-09-30,2.7,Contained
NG,100,Refuse,REFUSE,2022-09-30,1.95,Special Ops
27,100,Refuse,REFUSE,2022-09-30,7.65,Uncontained
27,100,Refuse,REFUSE,2022-09-30,7.66,Contained
27,100,Refuse,REFUSE,2022-09-30,9.69,Uncontained
