SiteCode,MT,MTLabel,MTGroup,DateOut,NetSTN,BillCustomerType
27,100,Refuse,REFUSE,2021-03-31,8.97,Reciprocal
27,100,Refuse,REFUSE,2021-03-31,8.04,Reciprocal
NG,100,Refuse,REFUSE,2021-03-31,7.74,Contained
27,100,Refuse,REFUSE,2021-03-31,10.16,Reciprocal
27,100,Refuse,REFUSE,2021-03-31,2.39,Reciprocal
27,100,Refuse,REFUSE,2021-03-31,8.67,Reciprocal
NG,100,Refuse,REFUSE,2021-03-31,11.98,Contained
27,100,Refuse,REFUSE,2021-03-31,1.71,Reciprocal
NG,100,Refuse,REFUSE,2021-03-31,9.55,Contained
NG,100,Refuse,REFUSE,2021-03-31,6.32,Uncontained
NG,100,Refuse,REFUSE,2021-03-31,10.51,Contained
NG,200,Recycle,RECYCLE,2021-03-31,3.9,Contained
NG,100,Refuse,REFUSE,2021-03-31,11.13,Contained
NG,100,Refuse,REFUSE,2021-03-31,11.7,Contained
NG,200,Recycle,RECYCLE,2021-03-31,3.4,Contained
NG,200,Recycle,RECYCLE,2021-03-31,3.66,Contained
NG,100,Refuse,REFUSE,2021-03-31,10.23,Contained
NG,100,Refuse,REFUSE,2021-03-31,9,Contained
27,100,Refuse,REFUSE,2021-03-31,6.6,Reciprocal
27,100,Refuse,REFUSE,2021-03-31,13.04,Reciprocal
27,100,Refuse,REFUSE,2021-03-31,10.12,Special Ops
NG,200,Recycle,RECYCLE,2021-03-31,4.79,Contained
NG,200,Recycle,RECYCLE,2021-03-31,1.3,Contained
27,100,Refuse,REFUSE,2021-03-31,0.23,Reciprocal
27,100,Refuse,REFUSE,2021-03-31,4.07,Reciprocal
NG,100,Refuse,REFUSE,2021-03-31,8.12,Contained
NG,200,Recycle,RECYCLE,2021-03-31,2.29,Contained
NG,100,Refuse,REFUSE,2021-03-31,3.16,Uncontained
NG,100,Refuse,REFUSE,2021-03-31,9.42,Contained
NG,200,Recycle,RECYCLE,2021-03-31,2.72,Contained
NG,100,Refuse,REFUSE,2021-03-31,2.99,Uncontained
NG,200,Recycle,RECYCLE,2021-03-31,6.04,Contained
NG,100,Refuse,REFUSE,2021-03-31,7.54,Contained
NG,100,Refuse,REFUSE,2021-03-31,11.81,Contained
NG,100,Refuse,REFUSE,2021-03-31,4.5,Contained
NG,100,Refuse,REFUSE,2021-03-31,10.11,Contained
NG,200,Recycle,RECYCLE,2021-03-31,2.06,Contained
NG,200,Recycle,RECYCLE,2021-03-31,2.68,Contained
27,100,Refuse,REFUSE,2021-03-31,4.56,Special Ops
27,100,Refuse,REFUSE,2021-03-31,6.57,Reciprocal
27,100,Refuse,REFUSE,2021-03-31,5.48,Reciprocal
27,100,Refuse,REFUSE,2021-03-31,0.93,Reciprocal
27,100,Refuse,REFUSE,2021-03-31,3.99,Reciprocal
27,100,Refuse,REFUSE,2021-03-31,0.8,Reciprocal
27,100,Refuse,REFUSE,2021-03-31,1.18,Reciprocal
NG,100,Refuse,REFUSE,2021-03-31,10.22,Contained
27,100,Refuse,REFUSE,2021-03-31,5.49,Reciprocal
NG,100,Refuse,REFUSE,2021-03-31,11.54,Contained
27,100,Refuse,REFUSE,2021-03-31,10.37,Reciprocal
NG,200,Recycle,RECYCLE,2021-03-31,3.04,Contained
NG,100,Refuse,REFUSE,2021-03-31,9.88,Contained
NG,100,Refuse,REFUSE,2021-03-31,10.21,Contained
NG,100,Refuse,REFUSE,2021-03-31,12.13,Contained
NG,200,Recycle,RECYCLE,2021-03-31,4.2,Contained
NG,200,Recycle,RECYCLE,2021-03-31,3.24,Contained
NG,100,Refuse,REFUSE,2021-03-31,10.55,Contained
NG,200,Recycle,RECYCLE,2021-03-31,4.36,Contained
NG,100,Refuse,REFUSE,2021-03-31,6.38,Contained
27,100,Refuse,REFUSE,2021-03-31,5.62,Reciprocal
NG,200,Recycle,RECYCLE,2021-03-31,3.81,Contained
27,100,Refuse,REFUSE,2021-03-31,2.64,Reciprocal
27,100,Refuse,REFUSE,2021-03-31,0.88,Reciprocal
NG,200,Recycle,RECYCLE,2021-03-31,1.57,Contained
27,100,Refuse,REFUSE,2021-03-31,6.96,Reciprocal
NG,200,Recycle,RECYCLE,2021-03-31,1.25,Contained
27,100,Refuse,REFUSE,2021-03-31,10.41,Reciprocal
NG,100,Refuse,REFUSE,2021-03-31,8.41,Contained
NG,100,Refuse,REFUSE,2021-03-31,9.12,Contained
NG,100,Refuse,REFUSE,2021-03-31,9.38,Contained
27,300,Green,GREEN,2021-03-31,0.4,AR
NG,100,Refuse,REFUSE,2021-03-31,10.25,Uncontained
27,100,Refuse,REFUSE,2021-03-31,3.51,Reciprocal
NG,100,Refuse,REFUSE,2021-03-31,8.33,Contained
NG,200,Recycle,RECYCLE,2021-03-31,3.63,Contained
NG,100,Refuse,REFUSE,2021-03-31,8.53,Contained
NG,100,Refuse,REFUSE,2021-03-31,7.45,Contained
NG,200,Recycle,RECYCLE,2021-03-31,1.62,Contained
NG,100,Refuse,REFUSE,2021-03-31,7.69,Contained
27,100,Refuse,REFUSE,2021-03-31,0.08,Special Ops
27,100,Refuse,REFUSE,2021-03-31,7.83,Reciprocal
27,100,Refuse,REFUSE,2021-03-31,9.25,Reciprocal
NG,200,Recycle,RECYCLE,2021-03-31,3.22,Contained
NG,100,Refuse,REFUSE,2021-03-31,8.74,Contained
NG,100,Refuse,REFUSE,2021-03-31,8.97,Contained
NG,100,Refuse,REFUSE,2021-03-31,11.67,Contained
NG,200,Recycle,RECYCLE,2021-03-31,3.43,Contained
NG,200,Recycle,RECYCLE,2021-03-31,3.27,Contained
27,100,Refuse,REFUSE,2021-03-31,9.47,Reciprocal
NG,100,Refuse,REFUSE,2021-03-31,9.97,Contained
NG,200,Recycle,RECYCLE,2021-03-31,3.69,Contained
27,100,Refuse,REFUSE,2021-03-31,4.08,Reciprocal
27,100,Refuse,REFUSE,2021-03-31,0.53,AR
NG,100,Refuse,REFUSE,2021-03-31,8.56,Contained
NG,100,Refuse,REFUSE,2021-03-31,9.72,Contained
NG,200,Recycle,RECYCLE,2021-03-31,4.34,Contained
NG,200,Recycle,RECYCLE,2021-03-31,3.12,Contained
NG,100,Refuse,REFUSE,2021-03-31,9.04,Contained
NG,200,Recycle,RECYCLE,2021-03-31,4.1,Contained
NG,200,Recycle,RECYCLE,2021-03-31,1.76,Contained
NG,200,Recycle,RECYCLE,2021-03-31,0.9,Contained
NG,100,Refuse,REFUSE,2021-03-31,10.86,Contained
NG,200,Recycle,RECYCLE,2021-03-31,5.69,Contained
27,100,Refuse,REFUSE,2021-03-31,5.24,Reciprocal
NG,100,Refuse,REFUSE,2021-03-31,9.61,Contained
27,100,Refuse,REFUSE,2021-03-31,2.64,Reciprocal
NG,100,Refuse,REFUSE,2021-03-31,7.26,Uncontained
NG,100,Refuse,REFUSE,2021-03-31,3.26,Uncontained
NG,200,Recycle,RECYCLE,2021-03-31,1.43,Special Ops
NG,100,Refuse,REFUSE,2021-03-31,8.95,Uncontained
27,100,Refuse,REFUSE,2021-03-31,3.23,Reciprocal
NG,100,Refuse,REFUSE,2021-03-31,3.61,Contained
NG,200,Recycle,RECYCLE,2021-03-31,1.94,Contained
27,100,Refuse,REFUSE,2021-03-31,1.28,Reciprocal
27,100,Refuse,REFUSE,2021-03-31,3.96,Reciprocal
27,100,Refuse,REFUSE,2021-03-31,1.26,Reciprocal
27,100,Refuse,REFUSE,2021-03-31,0.68,Reciprocal
NG,200,Recycle,RECYCLE,2021-03-31,2.8,Contained
27,100,Refuse,REFUSE,2021-03-31,9.04,Reciprocal
27,100,Refuse,REFUSE,2021-03-31,8.91,Reciprocal
