Row ID,Site,Year,Month,Month Date,Usage Charges,kW,Solar Production,Total Building Energy Use kWh,Time of Use Plan Flag,On Peak kWh,Shoulder Peak kWh,Off Peak kWh,Total Net Billable,Solar Savings,SRP charges Without Solar,Owner
1,Solfocus,2011,October,10/01/2011,-227.97,277,12615,16153,false,,,,,2959.37,2731.4,City
2,Solfocus,2011,November,11/01/2011,-98.6799999999999,275,10731,19221,false,,,,,2713.5,2614.82,City
3,Solfocus,2011,December,12/01/2011,708.53,276,7362,19471,false,,,,,1930.83,2639.36,City
4,Solfocus,2012,January,01/01/2012,586.63,276,10387,26270,false,,,,,2622.07,3208.7,City
5,Solfocus,2012,February,02/01/2012,37.8199999999999,273,10891,21316,false,,,,,2745.24,2783.06,City
6,Solfocus,2012,March,03/01/2012,-60.5599999999999,268,11620,22305,false,,,,,2908.45,2847.89,City
7,Solfocus,2012,April,04/01/2012,-1127.29,270,13475,14810,false,,,,,3354.75,2227.46,City
8,Solfocus,2012,May,05/01/2012,-326.25,268,15147,21879,false,,,,,3634.68,3308.43,City
9,Solfocus,2012,June,06/01/2012,-1501.86,271,18717,18197,false,,,,,4429.21,2927.35,City
10,Solfocus,2012,July,07/01/2012,-1075.62,135,11570,5152,false,,,,,2245.22,1169.6,City
11,Solfocus,2012,August,08/01/2012,-338.32,274,10896,17446,false,,,,,3602.09,3263.77,City
12,Solfocus,2012,September,09/01/2012,1132.48,273,12325,29791,false,,,,,3036.01,4168.49,City
13,Fire Stn 220,2012,October,10/01/2012,1213.75,39,1713,14075,false,,,,,1509.04,2722.79,City
14,Solfocus,2012,October,10/01/2012,-346.93,271,13279,16879,false,,,,,3134.01,2787.08,City
15,Fire Stn 220,2012,November,11/01/2012,987.62,36,2013,12362,false,,,,,1521.71,2509.33,City
16,Solfocus,2012,November,11/01/2012,-37.1899999999999,264,12030,20983,false,,,,,3362.47,3325.28,City
17,Fire Stn 220,2012,December,12/01/2012,909.31,32,1536,11126,false,,,,,2623.81,3533.12,City
18,Solfocus,2012,December,12/01/2012,1409.47,268,8408,28006,false,,,,,1479.28,2888.75,City
19,Fire Stn 220,2013,January,01/01/2013,1052.98,31,1753,13607,false,,,,,2345.6,3398.58,City
20,RM Multigen,2013,January,01/01/2013,5780.91,156,5196.437845,70000,false,,,,,-3378.32,2402.59,Tesla
21,Solfocus,2013,January,01/01/2013,491.95,267,8814,18305,false,,,,,2055.22,2547.17,City
22,Fire Stn 220,2013,February,02/01/2013,879.06,30,1749,11079,false,,,,,2482.15,3361.21,City
23,RM Multigen,2013,February,02/01/2013,6069.95,212,5278.48021,65600,false,,,,,-2045.86,4024.09,Tesla
24,Solfocus,2013,February,02/01/2013,636.3,269,9845,22750,false,,,,,505.71,1142.01,City
25,Fire Stn 220,2013,March,03/01/2013,1073.95,36,2675,14177,false,,,,,2052.37,3126.32,City
26,RM Multigen,2013,March,03/01/2013,6746.5,232,5881.78819,73200,false,,,,,-4015.84,2730.66,Tesla
27,Solfocus,2013,March,03/01/2013,895.62,270,11532,30402,false,,,,,2223.56,3119.18,City
28,Fire Stn 219,2013,April,04/01/2013,775.89,30,923,8876,false,,,,,1959.12,2735.01,City
29,Fire Stn 220,2013,April,04/01/2013,1135.73,35,2583,14961,false,,,,,2191.39,3327.12,City
30,RM Multigen,2013,April,04/01/2013,7289.2,236,6409.796125,80400,false,,,,,-4820.38,2468.82,Tesla
31,Solfocus,2013,April,04/01/2013,-90.58,271,11495,18585,false,,,,,2180.87,2090.29,City
32,Fire Stn 219,2013,May,05/01/2013,1488.39,41,963,14475,false,,,,,66.27,1554.66,City
33,Fire Stn 220,2013,May,05/01/2013,1135.73,41,2719,16569,false,,,,,924.01,2059.74,City
34,RM Multigen,2013,May,05/01/2013,9638.94,240,8732.92515,94800,false,,,,,-5809.37,3829.57,Tesla
35,Solfocus,2013,May,05/01/2013,169.55,268,12760,22726,false,,,,,3373.75,3543.3,City
36,Fire Stn 219,2013,June,06/01/2013,1637.11,37,1016,17846,false,,,,,1098.06,2735.17,City
37,Fire Stn 220,2013,June,06/01/2013,2064.02,51,2880,23194,false,,,,,1706,3770.02,City
38,RM Multigen,2013,June,06/01/2013,10569.57,268,9657.42256,104400,false,,,,,-8768.48455,1801.08545,Tesla
39,Solfocus,2013,June,06/01/2013,-816.35,264,12697,13503,false,,,,,4037.34,3220.99,City
40,Fire Stn 219,2013,July,07/01/2013,2264.81,46,841,20081,false,,,,,348.18,2612.99,City
41,Fire Stn 220,2013,July,07/01/2013,2545.3,49,2374,24659,false,,,,,758.03,3303.33,City
42,RM Multigen,2013,July,07/01/2013,15200.52,320,14117.348385,129200,false,,,,,-12344.2,2856.32,Tesla
43,Solfocus,2013,July,07/01/2013,-522.83,198,8509,3191,false,,,,,2420.1,1897.27,City
44,Fire Stn 219,2013,August,08/01/2013,1971.83,41,808,17511,false,,,,,498.16,2469.99,City
45,Fire Stn 220,2013,August,08/01/2013,2545.3,47,2051,22695,false,,,,,-370.24,2175.06,City
46,RM Multigen,2013,August,08/01/2013,13762.34,228,13011.22973,130800,false,,,,,-8857.63,4904.71,Tesla
47,Solfocus,2013,August,08/01/2013,42.2699999999999,268,9486,18364,false,,,,,3580.85,3623.12,City
48,Fire Stn 219,2013,September,09/01/2013,1789.52,46,905,19215,false,,,,,197.77287725,1987.29287725,City
49,Fire Stn 220,2013,September,09/01/2013,2119.43,46,2118,24499,false,,,,,200.71868185,2320.14868185,City
50,RM Multigen,2013,September,09/01/2013,11148.37,236,10362.25432,121200,false,,,,,338.598380000001,11486.96838,Tesla
51,Solfocus,2013,September,09/01/2013,1573.64,272,9564,28468,false,,,,,2164.05,3737.69,City
52,Fire Stn 219,2013,October,10/01/2013,1147.64,34,953,11243,false,,,,,131.42661845,1279.06661845,City
53,Fire Stn 220,2013,October,10/01/2013,1407.44,34,2156,16038,false,,,,,185.4929597,1592.9329597,City
54,PD Fiesta Substn,2013,October,10/01/2013,2394.26,86,37902,38108,false,,,,,1430.5980602,3824.8580602,Tesla
55,RM Multigen,2013,October,10/01/2013,10790.23,244,9970.40019,113600,false,,,,,347.477560000001,11137.70756,Tesla
56,Solfocus,2013,October,10/01/2013,314.33,269,11017,20067,false,,,,,3181.9449848,3496.2749848,City
57,Fire Stn 219,2013,November,11/01/2013,782.64,29,737,8948,false,,,,,67.5678485999999,850.2078486,City
58,Fire Stn 220,2013,November,11/01/2013,1016.21,32,1551,12718,false,,,,,94.9331961,1111.1431961,City
59,PD Fiesta Substn,2013,November,11/01/2013,2258.14,72,26531,33098,false,,,,,447.175057099999,2705.3150571,Tesla
60,RM Multigen,2013,November,11/01/2013,7985.73,240,7167.06455,93200,false,,,,,40.5481499999987,8026.27815,Tesla
61,Solfocus,2013,November,11/01/2013,2235.59,269,6362,25587,false,,,,,1132.26010435,3367.85010435,City
62,Fire Stn 219,2013,December,12/01/2013,906.29,40,706,9796,false,,,,,73.7477031999998,980.0377032,City
63,Fire Stn 220,2013,December,12/01/2013,1016.21,26,1393,11573,false,,,,,-41.10337465,975.10662535,City
64,PD Fiesta Substn,2013,December,12/01/2013,2725.83,85,29555,39198,false,,,,,469.365388599999,3195.1953886,Tesla
65,RM Multigen,2013,December,12/01/2013,6744.02,232,5941.69111,74000,false,,,,,73.2240310000007,6817.244031,Tesla
66,Solfocus,2013,December,12/01/2013,1247.79,265,6427,21034,false,,,,,1736.2045917,2983.9945917,City
67,Fire Stn 212 PD,2014,January,01/01/2014,2487.48,82,16492,28228,false,,,,,79.0956155999998,2566.5756156,Tesla
68,Fire Stn 219,2014,January,01/01/2014,842.01,33,764,9489,false,,,,,72.2249290499998,914.23492905,City
69,Fire Stn 220,2014,January,01/01/2014,840.82,24,1546,11210,false,,,,,89.9475515,930.7675515,City
70,PD Fiesta Substn,2014,January,01/01/2014,2382.88,79,27123,34498,false,,,,,484.604060599999,2867.4840606,Tesla
71,RM Multigen,2014,January,01/01/2014,6641.92,145,29958,48859,false,,,,,-2184.02864845,4457.89135155,Tesla
72,Solfocus,2014,January,01/01/2014,1170.37,271,3987,13129,false,,,,,1209.68938145,2380.05938145,City
73,Fire Stn 212 PD,2014,February,02/01/2014,2550.251,77,17023,30360,false,,,,,69.3575004999998,2619.6085005,Tesla
74,Fire Stn 219,2014,February,02/01/2014,772.51,43,675,7864,false,,,,,84.8045131999999,857.3145132,City
75,Fire Stn 220,2014,February,02/01/2014,728.71,25,1492,9263,false,,,,,109.46486035,838.17486035,City
76,PD Fiesta Substn,2014,February,02/01/2014,2203.67,80,27994,32623,false,,,,,575.10338985,2778.77338985,Tesla
77,RM Multigen,2014,February,02/01/2014,5189.08,167,29043,31914,false,,,,,-1819.0020127,3370.0779873,Tesla
78,Solfocus,2014,February,02/01/2014,2664.63,271,2871,27899,false,,,,,897.99016995,3562.62016995,City
79,Fire Stn 212 PD,2014,March,03/01/2014,2478.17,70,23817,29625,false,,,,,15.1242687499998,2493.29426875,Tesla
