Date,Site_int,Month_int,SolarProductionDemand,Solar Production,TotalEnergyUsageAcrossSites
2011-10-01,7,10,277.0,12615.0,16153.0
2011-11-01,7,9,275.0,10731.0,19221.0
2011-12-01,7,2,276.0,7362.0,19471.0
2012-01-01,7,4,276.0,10387.0,26270.0
2012-02-01,7,3,273.0,10891.0,21316.0
2012-03-01,7,7,268.0,11620.0,22305.0
2012-04-01,7,0,270.0,13475.0,14810.0
2012-05-01,7,8,268.0,15147.0,21879.0
2012-06-01,7,6,271.0,18717.0,18197.0
2012-07-01,7,5,135.0,11570.0,5152.0
2012-08-01,7,1,274.0,10896.0,17446.0
2012-09-01,7,11,273.0,12325.0,29791.0
2012-10-01,3,10,39.0,1713.0,14075.0
2012-10-01,7,10,271.0,13279.0,16879.0
2012-11-01,3,9,36.0,2013.0,12362.0
2012-11-01,7,9,264.0,12030.0,20983.0
2012-12-01,3,2,32.0,1536.0,11126.0
2012-12-01,7,2,268.0,8408.0,28006.0
2013-01-01,3,4,31.0,1753.0,13607.0
2013-01-01,5,4,156.0,5196.437845,70000.0
2013-01-01,7,4,267.0,8814.0,18305.0
2013-02-01,3,3,30.0,1749.0,11079.0
2013-02-01,5,3,212.0,5278.48021,65600.0
2013-02-01,7,3,269.0,9845.0,22750.0
2013-03-01,3,7,36.0,2675.0,14177.0
2013-03-01,5,7,232.0,5881.78819,73200.0
2013-03-01,7,7,270.0,11532.0,30402.0
2013-04-01,2,0,30.0,923.0,8876.0
2013-04-01,3,0,35.0,2583.0,14961.0
2013-04-01,5,0,236.0,6409.796125,80400.0
2013-04-01,7,0,271.0,11495.0,18585.0
2013-05-01,2,8,41.0,963.0,14475.0
2013-05-01,3,8,41.0,2719.0,16569.0
2013-05-01,5,8,240.0,8732.92515,94800.0
2013-05-01,7,8,268.0,12760.0,22726.0
2013-06-01,2,6,37.0,1016.0,17846.0
2013-06-01,3,6,51.0,2880.0,23194.0
2013-06-01,5,6,268.0,9657.42256,104400.0
2013-06-01,7,6,264.0,12697.0,13503.0
2013-07-01,2,5,46.0,841.0,20081.0
2013-07-01,3,5,49.0,2374.0,24659.0
2013-07-01,5,5,320.0,14117.348385,129200.0
2013-07-01,7,5,198.0,8509.0,3191.0
2013-08-01,2,1,41.0,808.0,17511.0
2013-08-01,3,1,47.0,2051.0,22695.0
2013-08-01,5,1,228.0,13011.22973,130800.0
2013-08-01,7,1,268.0,9486.0,18364.0
2013-09-01,2,11,46.0,905.0,19215.0
2013-09-01,3,11,46.0,2118.0,24499.0
2013-09-01,5,11,236.0,10362.25432,121200.0
2013-09-01,7,11,272.0,9564.0,28468.0
2013-10-01,2,10,34.0,953.0,11243.0
2013-10-01,3,10,34.0,2156.0,16038.0
2013-10-01,4,10,86.0,37902.0,38108.0
2013-10-01,5,10,244.0,9970.40019,113600.0
2013-10-01,7,10,269.0,11017.0,20067.0
2013-11-01,2,9,29.0,737.0,8948.0
2013-11-01,3,9,32.0,1551.0,12718.0
2013-11-01,4,9,72.0,26531.0,33098.0
2013-11-01,5,9,240.0,7167.06455,93200.0
2013-11-01,7,9,269.0,6362.0,25587.0
2013-12-01,2,2,40.0,706.0,9796.0
2013-12-01,3,2,26.0,1393.0,11573.0
2013-12-01,4,2,85.0,29555.0,39198.0
2013-12-01,5,2,232.0,5941.69111,74000.0
2013-12-01,7,2,265.0,6427.0,21034.0
2014-01-01,1,4,82.0,16492.0,28228.0
2014-01-01,2,4,33.0,764.0,9489.0
2014-01-01,3,4,24.0,1546.0,11210.0
2014-01-01,4,4,79.0,27123.0,34498.0
2014-01-01,5,4,145.0,29958.0,48859.0
2014-01-01,7,4,271.0,3987.0,13129.0
