Charge Year,Month Name,Month Date,Customer Class,Consumption
2001,November,Nov 2001,Residential,355785
2001,November,Nov 2001,Commercial,309919
2001,November,Nov 2001,Interdepartmental,9546
2001,November,Nov 2001,Other,113723
2001,December,Dec 2001,Residential,1071360
2001,December,Dec 2001,Commercial,943576
2001,December,Dec 2001,Interdepartmental,57761
2001,December,Dec 2001,Other,77711
2002,January,Jan 2002,Residential,1037418
2002,January,Jan 2002,Commercial,1032749
2002,January,Jan 2002,Interdepartmental,46888
2002,January,Jan 2002,Other,206604
2002,February,Feb 2002,Residential,801322
2002,February,Feb 2002,Commercial,645837
2002,February,Feb 2002,Interdepartmental,44322
2002,February,Feb 2002,Other,114024
2002,March,Mar 2002,Other,137180
2002,March,Mar 2002,Interdepartmental,38176
2002,March,Mar 2002,Commercial,852456
2002,March,Mar 2002,Residential,1095716
2002,April,Apr 2002,Other,82597
2002,April,Apr 2002,Interdepartmental,67722
2002,April,Apr 2002,Commercial,898063
2002,April,Apr 2002,Residential,1249199
2002,May,May 2002,Other,278321
2002,May,May 2002,Interdepartmental,148879
2002,May,May 2002,Commercial,1159738
2002,May,May 2002,Residential,1550767
2002,June,Jun 2002,Residential,1633828
2002,June,Jun 2002,Commercial,1062981
2002,June,Jun 2002,Interdepartmental,180549
2002,June,Jun 2002,Other,130327
2002,July,Jul 2002,Other,310138
2002,July,Jul 2002,Interdepartmental,251650
2002,July,Jul 2002,Commercial,1404588
2002,July,Jul 2002,Residential,1928383
2002,August,Aug 2002,Other,208287
2002,August,Aug 2002,Interdepartmental,201028
2002,August,Aug 2002,Commercial,1352386
2002,August,Aug 2002,Residential,1673864
2002,September,Sep 2002,Residential,1477692
2002,September,Sep 2002,Commercial,1107382
2002,September,Sep 2002,Interdepartmental,171826
2002,September,Sep 2002,Other,103550
2002,October,Oct 2002,Other,199892
2002,October,Oct 2002,Interdepartmental,144658
2002,October,Oct 2002,Commercial,1163922
2002,October,Oct 2002,Residential,1449610
2002,November,Nov 2002,Residential,1154238
2002,November,Nov 2002,Commercial,899237
2002,November,Nov 2002,Interdepartmental,60089
2002,November,Nov 2002,Other,69904
2002,December,Dec 2002,Residential,1070497
2002,December,Dec 2002,Commercial,894519
2002,December,Dec 2002,Interdepartmental,68431
2002,December,Dec 2002,Other,73729
2003,January,Jan 2003,Other,74549
2003,January,Jan 2003,Interdepartmental,47540
2003,January,Jan 2003,Commercial,822535
2003,January,Jan 2003,Residential,978433
2003,February,Feb 2003,Residential,860050
2003,February,Feb 2003,Commercial,695178
2003,February,Feb 2003,Interdepartmental,47395
