NetSTN,GREEN,LANDFILL,RECYCLE,REFUSE,AR,Commercial,Contained,Non-Profit,Other,Other Dept,Reciprocal,Residential,Special Ops,Uncontained,DateOut
0.66,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4362 
0.18,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
0.25,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
0.94,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
0.31,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
1.36,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
1.43,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
8.24,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4362 
0.7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
13.68,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
0.2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4362 
0.97,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4362 
1.69,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
0.6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
0.28,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
1.23,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
0.79,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
0.67,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
0.13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
1.18,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
0.88,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
0.86,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
0.59,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4362 
1.34,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4362 
1.36,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
2.68,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
0.11,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
0.81,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
1.63,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
0.62,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
0.52,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
0.2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
0.63,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
1.2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
1.6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4362 
0.82,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
0.15,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4362 
0.22,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
0.27,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4362 
0.53,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4362 
0.83,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
0.9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
0.55,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4362 
0.46,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
1.29,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4362 
1.62,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4362 
0.76,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
1.15,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
0.85,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
1.78,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
0.42,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
0.59,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
0.81,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
0.59,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
1.32,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4362 
0.08,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
0.46,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4362 
1.96,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
1.35,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4362 
0.25,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4362 
0.53,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
0.53,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4362 
