NetSTN,GREEN,LANDFILL,RECYCLE,REFUSE,AR,Commercial,Contained,Non-Profit,Other,Other Dept,Reciprocal,Residential,Special Ops,Uncontained,DateOut
0.84,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4485 
0.22,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4485 
2.61,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4485 
1.07,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4485 
8.29,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4485 
6.46,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4485 
10.83,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4485 
0.47,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4485 
0.27,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4485 
3.96,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4485 
10.4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4485 
0.41,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4485 
0.9,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4485 
5.57,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4485 
7.87,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4485 
13.9,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4485 
9.24,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4485 
0.75,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4485 
5.12,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4485 
4.8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4485 
0.75,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4485 
3.97,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4485 
4.29,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4485 
1.44,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4485 
1.1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4485 
7.6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4485 
7.77,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4485 
0.91,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4485 
9.28,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4485 
1.44,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4485 
3.29,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4485 
6.8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4485 
1.17,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4485 
6.61,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4485 
9.88,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4485 
1.99,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4485 
1.38,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4485 
1.29,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4485 
8.92,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4485 
1.07,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4485 
2.14,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4485 
1.54,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4485 
2.85,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4485 
6.89,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4485 
8.48,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4485 
7.18,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4485 
2.26,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4485 
2.3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4485 
0.97,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4485 
7.59,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4485 
9.91,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4485 
8.36,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4485 
9.25,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4485 
10.75,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4485 
8.27,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4485 
0.72,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4485 
8.07,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4485 
3.85,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4485 
1.29,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4485 
5.81,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4485 
5.32,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4485 
7.18,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4485 
6.89,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4485 
6.75,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4485 
7.6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4485 
1.77,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4485 
