NetSTN,GREEN,LANDFILL,RECYCLE,REFUSE,AR,Commercial,Contained,Non-Profit,Other,Other Dept,Reciprocal,Residential,Special Ops,Uncontained,DateOut
6.17,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4607 
12.36,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4607 
7.48,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4607 
0.44,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4607 
11.53,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4607 
4.06,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4607 
11.37,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4607 
5.19,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4607 
5.14,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4607 
6.36,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4607 
5.9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4607 
0.1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4607 
0.82,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4607 
2.77,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4607 
1.91,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4607 
4.54,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4607 
5.36,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4607 
5.55,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4607 
4.44,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4607 
4.79,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4607 
5.35,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4607 
4.13,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4607 
2.04,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4607 
8.57,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4607 
4.27,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4607 
2.93,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4607 
1.75,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4607 
0.67,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4607 
0.29,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4607 
1.32,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4607 
2.85,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4607 
1.32,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4607 
0.43,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4607 
0.55,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4607 
0.59,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4607 
2.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4607 
1.59,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4607 
1.24,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4607 
1.87,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4607 
1.84,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4607 
1.83,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4607 
0.95,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4607 
0.22,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4607 
0.62,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4607 
0.98,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4607 
0.93,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4607 
0.38,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4607 
0.94,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4607 
1.16,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4607 
0.85,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4607 
0.33,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4607 
1.52,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4607 
1.45,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4607 
9.58,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4607 
0.66,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4607 
0.25,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4607 
0.91,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4607 
