NetSTN,GREEN,LANDFILL,RECYCLE,REFUSE,AR,Commercial,Contained,Non-Profit,Other,Other Dept,Reciprocal,Residential,Special Ops,Uncontained,DateOut
0.37,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.81,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.41,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.06,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.19,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.52,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.89,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.32,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.68,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.41,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.38,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.85,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4301 
0.6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.56,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.14,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.21,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
10.95,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4301 
1.24,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
4.61,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.98,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.06,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.27,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
2.21,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
2.62,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.95,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.69,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4301 
1.26,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4301 
0.91,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.47,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.33,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.02,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.17,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.07,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.07,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.94,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4301 
0.53,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.61,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.17,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.57,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4301 
1.82,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.55,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.91,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.44,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.96,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.88,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.57,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.25,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.66,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.79,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.32,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.47,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.64,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.83,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.79,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.35,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4301 
2.33,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.74,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.19,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.68,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
6.85,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4301 
1.24,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
3.57,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.22,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.45,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.29,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.07,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.41,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.61,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.62,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.56,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.41,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.55,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.27,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.46,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
2.82,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.54,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.77,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4301 
0.48,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.28,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.39,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.21,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.72,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.89,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.7,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4301 
1.16,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
2.48,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.61,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.28,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.52,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.51,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4301 
0.47,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.14,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
10.53,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4301 
1.25,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4301 
0.42,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.93,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.61,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4301 
0.54,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.91,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
4.86,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
2.08,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4301 
0.17,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.02,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.26,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.51,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
9.56,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4301 
0.27,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.75,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.33,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.52,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.35,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.37,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.15,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
7.41,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4301 
6.32,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4301 
10.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4301 
0.61,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.95,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
3.4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4301 
1.24,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.32,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.88,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.99,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.54,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.56,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
5.21,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4301 
0.19,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.89,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
3.77,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4301 
2.17,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4301 
0.14,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
3.24,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4301 
0.37,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.51,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.47,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
10.25,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4301 
1.48,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.97,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.07,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.23,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.75,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.61,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.99,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.41,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
8.47,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4301 
0.21,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.51,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4301 
0.67,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.57,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.78,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.25,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.06,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.56,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
2.33,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.64,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.38,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.34,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4301 
1.08,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
6.84,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4301 
0.77,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.54,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.53,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.61,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.03,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.66,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.16,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.18,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.88,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.14,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.02,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
2.25,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.49,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
10.88,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4301 
2.18,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.37,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.78,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4301 
0.8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
2.01,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.27,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.46,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
3.08,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4301 
0.51,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
3.26,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.31,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4301 
1.61,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.45,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4301 
0.94,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4301 
1.43,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
3.39,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4301 
3.17,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4301 
2.35,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4301 
0.43,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.53,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4301 
10.36,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4301 
0.11,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.64,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.92,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.21,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4301 
1.1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4301 
2.29,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4301 
0.11,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.68,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4301 
0.3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.24,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4301 
1.3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
6.98,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4301 
3.26,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4301 
6.53,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4301 
0.64,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4301 
2.74,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4301 
0.32,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.73,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4301 
0.68,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.26,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.82,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4301 
0.33,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.97,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.06,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4301 
1.28,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
3.48,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4301 
1.14,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
7.21,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.24,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.79,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4301 
0.4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.38,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
1.3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
0.48,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4301 
