NetSTN,GREEN,LANDFILL,RECYCLE,REFUSE,AR,Commercial,Contained,Non-Profit,Other,Other Dept,Reciprocal,Residential,Special Ops,Uncontained,DateOut
8.97,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
8.04,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
7.74,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
10.16,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
2.39,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
8.67,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
11.98,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
1.71,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
9.55,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
6.32,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3967 
10.51,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
3.9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
11.13,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
11.7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
3.4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
3.66,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
10.23,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
9.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
6.6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
13.04,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
10.12,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3967 
4.79,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
1.3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
0.23,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
4.07,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
8.12,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
2.29,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
3.16,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3967 
9.42,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
2.72,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
2.99,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3967 
6.04,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
7.54,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
11.81,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
4.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
10.11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
2.06,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
2.68,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
4.56,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3967 
6.57,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
5.48,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
0.93,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
3.99,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
0.8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
1.18,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
10.22,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
5.49,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
11.54,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
10.37,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
3.04,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
9.88,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
10.21,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
12.13,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
4.2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
3.24,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
10.55,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
4.36,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
6.38,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
5.62,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
3.81,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
2.64,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
0.88,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
1.57,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
6.96,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
1.25,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
10.41,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
8.41,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
9.12,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
9.38,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
0.4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3967 
10.25,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3967 
3.51,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
8.33,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
3.63,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
8.53,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
7.45,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
1.62,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
7.69,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
0.08,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3967 
7.83,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
9.25,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
3.22,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
8.74,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
8.97,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
11.67,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
3.43,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
3.27,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
9.47,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
9.97,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
3.69,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
4.08,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
0.53,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3967 
8.56,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
9.72,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
4.34,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
3.12,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
9.04,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
4.1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
1.76,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
0.9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
10.86,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
5.69,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
5.24,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
9.61,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
2.64,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
7.26,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3967 
3.26,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3967 
1.43,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3967 
8.95,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3967 
3.23,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
3.61,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
1.94,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
1.28,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
3.96,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
1.26,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
0.68,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
2.8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
9.04,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
8.91,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
9.1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
11.51,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
4.73,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
6.5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
1.89,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
5.83,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
0.68,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
6.95,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
0.9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
3.66,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
8.14,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
9.78,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3967 
3.88,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
6.51,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3967 
8.05,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
10.99,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
11.02,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3967 
2.2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
3.6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
4.22,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
0.76,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
4.39,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
3.91,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
11.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
3.96,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
8.7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
1.73,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
1.42,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
1.77,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
10.67,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
0.97,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
6.07,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
5.15,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3967 
7.47,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3967 
1.1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
8.62,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
1.04,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
9.38,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
6.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
10.48,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
4.75,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3967 
3.43,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
2.64,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
0.73,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
7.05,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
3.29,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
7.2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3967 
3.98,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
5.37,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3967 
9.71,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
0.83,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3967 
7.63,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
8.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
8.86,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
4.33,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
10.47,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
11.75,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
8.43,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3967 
11.15,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
3.48,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
8.91,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
4.4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
8.92,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
9.01,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
10.81,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
5.23,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
3.49,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
11.59,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
3.94,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
6.21,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
10.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
7.14,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
7.72,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3967 
3.54,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3967 
9.81,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3967 
