NetSTN,GREEN,LANDFILL,RECYCLE,REFUSE,AR,Commercial,Contained,Non-Profit,Other,Other Dept,Reciprocal,Residential,Special Ops,Uncontained,DateOut
0.46,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4454 
7.45,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4453 
12.15,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4453 
11.32,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4453 
2.24,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4453 
7.01,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4453 
7.52,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4453 
1.14,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4453 
0.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4453 
13.06,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4453 
9.67,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4453 
3.56,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4453 
10.85,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4453 
6.53,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4453 
11.08,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4453 
5.92,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4453 
0.18,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4453 
0.67,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4453 
9.94,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4453 
1.77,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4453 
9.67,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4453 
2.96,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4453 
0.77,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4453 
1.6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4453 
3.54,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4453 
3.68,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4453 
9.03,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4453 
