NetSTN,GREEN,LANDFILL,RECYCLE,REFUSE,AR,Commercial,Contained,Non-Profit,Other,Other Dept,Reciprocal,Residential,Special Ops,Uncontained,DateOut
2.8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4423 
3.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4423 
4.49,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4423 
1.57,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4423 
2.56,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4423 
0.52,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4423 
0.99,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4423 
0.24,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4423 
10.91,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4423 
2.46,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4423 
1.45,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4423 
1.27,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4423 
3.98,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4423 
3.98,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4423 
4.84,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4423 
9.02,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4423 
10.28,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4423 
12.45,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4423 
8.92,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4423 
10.62,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4423 
1.82,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4423 
9.43,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4423 
1.26,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4423 
11.66,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4423 
7.83,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4423 
9.45,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4423 
4.6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4423 
4.33,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4423 
5.59,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4423 
9.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4423 
0.65,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4423 
2.17,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4423 
8.08,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4423 
5.55,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4423 
10.54,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4423 
1.42,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4423 
8.35,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4423 
0.63,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4423 
6.39,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4423 
0.43,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4423 
7.35,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4423 
8.53,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4423 
2.93,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4423 
2.18,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4423 
0.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4423 
6.67,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4423 
8.36,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4423 
10.38,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4423 
5.32,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4423 
8.12,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4423 
1.84,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4423 
4.7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4423 
5.25,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4423 
9.59,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4423 
8.51,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4423 
1.17,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4423 
6.66,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4423 
9.74,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4423 
4.12,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4423 
2.89,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4423 
5.79,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4423 
3.97,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4423 
0.47,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4423 
9.17,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4423 
0.3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4423 
0.51,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4423 
7.89,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4423 
4.29,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4423 
4.25,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4423 
8.73,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4423 
10.91,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4423 
9.55,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4423 
4.29,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4423 
10.22,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4423 
1.71,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4423 
4.07,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4423 
25.34,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4423 
25.99,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4423 
9.03,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4423 
6.22,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4423 
8.35,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4423 
9.76,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4423 
12.34,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4423 
1.28,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4423 
3.88,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4423 
10.45,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4423 
3.66,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4423 
2.14,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4423 
8.23,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4423 
2.16,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4423 
3.6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4423 
10.22,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4423 
3.8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4423 
10.82,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4423 
8.76,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4423 
7.16,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4423 
4.53,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4423 
3.34,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4423 
6.86,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4423 
5.56,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4423 
6.03,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4423 
3.09,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4423 
2.76,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4423 
1.37,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4423 
10.14,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4423 
3.03,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4423 
3.1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4423 
3.43,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4423 
