NetSTN,GREEN,LANDFILL,RECYCLE,REFUSE,AR,Commercial,Contained,Non-Profit,Other,Other Dept,Reciprocal,Residential,Special Ops,Uncontained,DateOut
7.63,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4332 
4.54,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4332 
0.48,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4332 
1.91,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4332 
7.47,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4332 
1.17,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4332 
2.78,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4332 
9.38,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4332 
6.91,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4332 
8.81,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4332 
1.12,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4332 
8.3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4332 
4.25,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4332 
10.29,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4332 
7.49,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4332 
5.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4332 
7.17,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4332 
5.47,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4332 
5.59,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4332 
5.16,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4332 
6.16,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4332 
4.54,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4332 
6.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4332 
5.36,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4332 
9.32,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4332 
7.6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4332 
3.01,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4332 
4.03,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4332 
2.74,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4332 
3.65,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4332 
1.09,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4332 
4.6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4332 
6.81,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4332 
2.16,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4332 
8.56,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4332 
9.3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4332 
2.61,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4332 
7.82,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4332 
7.85,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4332 
9.45,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4332 
9.06,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4332 
2.77,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4332 
1.71,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4332 
3.44,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4332 
5.33,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4332 
5.95,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4332 
