NetSTN,GREEN,LANDFILL,RECYCLE,REFUSE,AR,Commercial,Contained,Non-Profit,Other,Other Dept,Reciprocal,Residential,Special Ops,Uncontained,DateOut
1.34,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4393 
6.89,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4393 
8.76,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4393 
5.1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4393 
4.4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4393 
8.08,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4393 
6.65,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4393 
9.42,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4393 
1.09,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4393 
5.51,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4393 
5.6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4393 
7.92,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4393 
7.46,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4393 
4.41,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4393 
0.64,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4393 
9.88,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4393 
1.04,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4393 
8.48,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4393 
1.52,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4393 
0.9,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4393 
0.88,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4393 
9.66,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4393 
7.47,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4393 
7.83,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4393 
1.15,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4393 
9.47,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4393 
6.78,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4393 
6.25,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4393 
0.73,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4393 
0.94,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4393 
0.46,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4393 
2.31,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4393 
8.41,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4393 
8.61,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4393 
0.94,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4393 
7.31,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4393 
1.99,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4393 
1.28,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4393 
7.84,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4393 
2.09,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4393 
4.53,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4393 
3.49,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4393 
5.87,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4393 
12.12,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4393 
2.39,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4393 
10.46,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4393 
6.87,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4393 
8.15,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4393 
