NetSTN,GREEN,LANDFILL,RECYCLE,REFUSE,AR,Commercial,Contained,Non-Profit,Other,Other Dept,Reciprocal,Residential,Special Ops,Uncontained,DateOut
14.34,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4576 
17.62,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4576 
14.54,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4576 
4.44,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4576 
4.35,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4576 
2.2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4576 
4.41,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4576 
7.87,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4576 
4.84,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4576 
4.05,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4576 
5.51,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4576 
4.57,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4576 
10.73,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4576 
8.64,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4576 
11.47,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4576 
2.61,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4576 
3.69,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4576 
3.4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4576 
3.47,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4576 
1.38,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4576 
0.93,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4576 
0.65,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4576 
0.91,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4576 
2.43,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4576 
9.56,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4576 
12.6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4576 
9.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4576 
0.89,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4576 
4.61,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4576 
2.12,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4576 
0.24,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4576 
1.89,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4576 
4.07,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4576 
3.65,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4576 
0.22,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4576 
4.89,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4576 
3.15,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4576 
5.32,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4576 
3.63,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4576 
25.63,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4576 
5.78,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4576 
9.42,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4576 
1.04,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4576 
4.39,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4576 
11.98,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4576 
12.2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4576 
7.91,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4576 
0.48,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4576 
3.73,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4576 
