NetSTN,GREEN,LANDFILL,RECYCLE,REFUSE,AR,Commercial,Contained,Non-Profit,Other,Other Dept,Reciprocal,Residential,Special Ops,Uncontained,DateOut
8.51,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4546 
3.23,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4546 
9.13,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4546 
2.14,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4546 
4.02,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4546 
1.03,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
5.55,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
5.39,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4546 
3.83,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
4.54,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4546 
0.11,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
14.28,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
0.85,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
4.53,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
10.73,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4546 
9.22,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4546 
3.17,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4546 
7.12,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
7.83,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4546 
11.18,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4546 
1.58,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4546 
11.59,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4546 
4.16,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4546 
3.59,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4546 
3.83,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4546 
8.66,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
0.57,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
8.15,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
3.37,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4546 
4.3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4546 
4.51,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
7.25,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
0.44,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4546 
7.61,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4546 
0.67,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4546 
2.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4546 
14.18,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4546 
4.96,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
3.52,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4546 
0.79,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4546 
0.87,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4546 
0.15,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
0.77,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4546 
1.55,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
10.1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4546 
12.36,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4546 
9.35,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4546 
6.55,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4546 
4.89,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4546 
4.11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4546 
0.51,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4546 
6.41,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4546 
2.32,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4546 
6.94,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4546 
2.89,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4546 
6.4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
4.73,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
14.1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4546 
12.3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
11.75,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
7.08,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
0.97,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
7.41,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
4.91,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
9.33,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
11.14,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4546 
10.23,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4546 
3.58,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4546 
3.01,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4546 
10.62,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4546 
4.55,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4546 
5.24,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4546 
0.64,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
0.98,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
11.68,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
0.87,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4546 
4.85,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
9.49,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
5.81,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
1.51,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
1.34,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
4.78,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4546 
4.71,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4546 
8.48,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
7.33,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4546 
10.24,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4546 
1.64,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
14.48,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4546 
8.4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
3.51,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4546 
2.38,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
1.33,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
1.41,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
10.04,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
3.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4546 
0.76,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
1.81,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
1.99,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
3.31,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4546 
13.31,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
0.98,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
2.12,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
9.27,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4546 
4.05,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4546 
4.47,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4546 
7.09,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4546 
7.88,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4546 
5.94,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4546 
8.75,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4546 
5.1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4546 
2.32,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4546 
