NetSTN,GREEN,LANDFILL,RECYCLE,REFUSE,AR,Commercial,Contained,Non-Profit,Other,Other Dept,Reciprocal,Residential,Special Ops,Uncontained,DateOut
0.88,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4515 
3.93,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4515 
1.71,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4515 
1.75,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4515 
0.7,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4515 
3.12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4515 
2.87,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4515 
0.85,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4515 
7.83,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4515 
0.79,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4515 
8.36,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4515 
1.76,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4515 
4.8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4515 
7.91,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4515 
1.73,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4515 
6.65,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4515 
4.47,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4515 
4.77,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4515 
3.46,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4515 
8.78,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4515 
3.26,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4515 
0.56,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4515 
2.95,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4515 
3.3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4515 
0.82,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4515 
4.02,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4515 
2.93,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4515 
2.88,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4515 
9.22,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4515 
11.15,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4515 
14.91,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4515 
7.16,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4515 
2.46,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4515 
9.96,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4515 
4.82,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4515 
8.46,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4515 
4.03,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4515 
2.97,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4515 
0.17,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4515 
2.75,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4515 
