SiteCode,MT,MTLabel,MTGroup,DateOut,NetSTN,BillCustomerType
27,100,Refuse,REFUSE,2022-04-30,0.66,Residential
27,100,Refuse,REFUSE,2022-04-30,0.18,Commercial
27,100,Refuse,REFUSE,2022-04-30,0.25,Commercial
27,100,Refuse,REFUSE,2022-04-30,0.94,Commercial
NG,100,Refuse,REFUSE,2022-04-30,0.31,Commercial
NG,100,Refuse,REFUSE,2022-04-30,1.36,Commercial
NG,100,Refuse,REFUSE,2022-04-30,1.43,Commercial
27,100,Refuse,REFUSE,2022-04-30,8.24,Special Ops
27,100,Refuse,REFUSE,2022-04-30,0.7,Commercial
27,100,Refuse,REFUSE,2022-04-30,13.68,Commercial
27,100,Refuse,REFUSE,2022-04-30,0.2,Residential
27,100,Refuse,REFUSE,2022-04-30,0.97,Residential
27,100,Refuse,REFUSE,2022-04-30,1.69,Commercial
27,100,Refuse,REFUSE,2022-04-30,0.6,Commercial
27,100,Refuse,REFUSE,2022-04-30,0.28,Commercial
27,100,Refuse,REFUSE,2022-04-30,1.23,Commercial
27,100,Refuse,REFUSE,2022-04-30,0.79,Commercial
27,100,Refuse,REFUSE,2022-04-30,0.67,Commercial
27,100,Refuse,REFUSE,2022-04-30,0.13,Commercial
NG,100,Refuse,REFUSE,2022-04-30,1.18,Commercial
27,100,Refuse,REFUSE,2022-04-30,0.88,Commercial
27,100,Refuse,REFUSE,2022-04-30,0.86,Commercial
27,100,Refuse,REFUSE,2022-04-30,0.59,Residential
27,100,Refuse,REFUSE,2022-04-30,1.34,Residential
NG,100,Refuse,REFUSE,2022-04-30,1.36,Commercial
27,100,Refuse,REFUSE,2022-04-30,2.68,Commercial
27,100,Refuse,REFUSE,2022-04-30,0.11,Commercial
27,100,Refuse,REFUSE,2022-04-30,0.81,Commercial
NG,100,Refuse,REFUSE,2022-04-30,1.63,Commercial
NG,100,Refuse,REFUSE,2022-04-30,0.62,Commercial
27,100,Refuse,REFUSE,2022-04-30,0.52,Commercial
NG,100,Refuse,REFUSE,2022-04-30,0.2,Commercial
NG,100,Refuse,REFUSE,2022-04-30,0.63,Commercial
NG,100,Refuse,REFUSE,2022-04-30,1.2,Commercial
NG,100,Refuse,REFUSE,2022-04-30,1.6,Residential
27,100,Refuse,REFUSE,2022-04-30,0.82,Commercial
27,100,Refuse,REFUSE,2022-04-30,0.15,Residential
27,100,Refuse,REFUSE,2022-04-30,0.22,Commercial
NG,100,Refuse,REFUSE,2022-04-30,0.27,Residential
27,100,Refuse,REFUSE,2022-04-30,0.53,Residential
NG,100,Refuse,REFUSE,2022-04-30,0.83,Commercial
NG,100,Refuse,REFUSE,2022-04-30,0.9,Commercial
27,300,Green,GREEN,2022-04-30,0.55,Commercial
NG,100,Refuse,REFUSE,2022-04-30,0.46,Commercial
27,100,Refuse,REFUSE,2022-04-30,1.29,Residential
27,300,Green,GREEN,2022-04-30,1.62,Commercial
NG,100,Refuse,REFUSE,2022-04-30,0.76,Commercial
27,100,Refuse,REFUSE,2022-04-30,1.15,Commercial
27,100,Refuse,REFUSE,2022-04-30,0.85,Commercial
27,100,Refuse,REFUSE,2022-04-30,1.78,Commercial
27,100,Refuse,REFUSE,2022-04-30,0.42,Commercial
NG,100,Refuse,REFUSE,2022-04-30,0.59,Commercial
NG,100,Refuse,REFUSE,2022-04-30,0.81,Commercial
NG,100,Refuse,REFUSE,2022-04-30,0.59,Commercial
27,100,Refuse,REFUSE,2022-04-30,1.32,Residential
27,100,Refuse,REFUSE,2022-04-30,0.08,Commercial
27,100,Refuse,REFUSE,2022-04-30,0.46,Residential
NG,100,Refuse,REFUSE,2022-04-30,1.96,Commercial
27,100,Refuse,REFUSE,2022-04-30,1.35,Residential
NG,100,Refuse,REFUSE,2022-04-30,0.25,Residential
27,100,Refuse,REFUSE,2022-04-30,0.53,Commercial
27,100,Refuse,REFUSE,2022-04-30,0.53,Commercial
NG,100,Refuse,REFUSE,2022-04-30,0.36,Commercial
NG,100,Refuse,REFUSE,2022-04-30,0.57,Commercial
NG,100,Refuse,REFUSE,2022-04-30,0.36,Commercial
NG,100,Refuse,REFUSE,2022-04-30,1.33,Residential
NG,100,Refuse,REFUSE,2022-04-30,0.67,Commercial
NG,100,Refuse,REFUSE,2022-04-30,0.81,Residential
NG,100,Refuse,REFUSE,2022-04-30,0.44,Commercial
NG,100,Refuse,REFUSE,2022-04-30,0.2,Commercial
27,100,Refuse,REFUSE,2022-04-30,0.93,Commercial
27,100,Refuse,REFUSE,2022-04-30,0.65,Commercial
NG,100,Refuse,REFUSE,2022-04-30,1.41,Commercial
27,100,Refuse,REFUSE,2022-04-30,0.71,Residential
27,300,Green,GREEN,2022-04-30,0.19,Commercial
27,100,Refuse,REFUSE,2022-04-30,3.14,Commercial
NG,100,Refuse,REFUSE,2022-04-30,1.71,Commercial
27,100,Refuse,REFUSE,2022-04-30,1.35,Commercial
NG,100,Refuse,REFUSE,2022-04-30,0.47,Commercial
NG,100,Refuse,REFUSE,2022-04-30,1.73,Commercial
27,100,Refuse,REFUSE,2022-04-30,1.37,Commercial
NG,100,Refuse,REFUSE,2022-04-30,3.52,Residential
27,100,Refuse,REFUSE,2022-04-30,0.63,Commercial
NG,100,Refuse,REFUSE,2022-04-30,0.63,Commercial
NG,100,Refuse,REFUSE,2022-04-30,0.82,Residential
NG,100,Refuse,REFUSE,2022-04-30,0.54,Commercial
27,100,Refuse,REFUSE,2022-04-30,0.27,Commercial
27,100,Refuse,REFUSE,2022-04-30,1.01,Residential
NG,100,Refuse,REFUSE,2022-04-30,0.29,Commercial
NG,100,Refuse,REFUSE,2022-04-30,0.79,Commercial
NG,100,Refuse,REFUSE,2022-04-30,0.91,Commercial
NG,100,Refuse,REFUSE,2022-04-30,0.99,Residential
NG,100,Refuse,REFUSE,2022-04-30,2.48,Commercial
NG,100,Refuse,REFUSE,2022-04-30,0.95,Commercial
27,100,Refuse,REFUSE,2022-04-30,0.92,Commercial
