SiteCode,MT,MTLabel,MTGroup,DateOut,NetSTN,BillCustomerType
27,100,Refuse,REFUSE,2022-12-31,6.17,Reciprocal
27,100,Refuse,REFUSE,2022-12-31,12.36,Reciprocal
27,100,Refuse,REFUSE,2022-12-31,7.48,Reciprocal
27,100,Refuse,REFUSE,2022-12-31,0.44,Reciprocal
27,100,Refuse,REFUSE,2022-12-31,11.53,Reciprocal
27,100,Refuse,REFUSE,2022-12-31,4.06,Reciprocal
27,100,Refuse,REFUSE,2022-12-31,11.37,Reciprocal
NG,200,Recycle,RECYCLE,2022-12-31,5.19,Contained
NG,200,Recycle,RECYCLE,2022-12-31,5.14,Contained
27,100,Refuse,REFUSE,2022-12-31,6.36,Reciprocal
NG,200,Recycle,RECYCLE,2022-12-31,5.9,Contained
27,100,Refuse,REFUSE,2022-12-31,0.1,Special Ops
27,100,Refuse,REFUSE,2022-12-31,0.82,Reciprocal
NG,200,Recycle,RECYCLE,2022-12-31,2.77,Contained
NG,200,Recycle,RECYCLE,2022-12-31,1.91,Contained
27,100,Refuse,REFUSE,2022-12-31,4.54,Reciprocal
NG,200,Recycle,RECYCLE,2022-12-31,5.36,Contained
NG,200,Recycle,RECYCLE,2022-12-31,5.55,Contained
NG,200,Recycle,RECYCLE,2022-12-31,4.44,Contained
NG,200,Recycle,RECYCLE,2022-12-31,4.79,Contained
NG,100,Refuse,REFUSE,2022-12-31,5.35,Contained
27,100,Refuse,REFUSE,2022-12-31,4.13,Special Ops
NG,200,Recycle,RECYCLE,2022-12-31,2.04,Contained
27,100,Refuse,REFUSE,2022-12-31,8.57,Reciprocal
NG,200,Recycle,RECYCLE,2022-12-31,4.27,Contained
NG,200,Recycle,RECYCLE,2022-12-31,2.93,Contained
NG,100,Refuse,REFUSE,2022-12-31,1.75,Contained
NG,100,Refuse,REFUSE,2022-12-31,0.67,Commercial
NG,100,Refuse,REFUSE,2022-12-31,0.29,Commercial
NG,100,Refuse,REFUSE,2022-12-31,1.32,Commercial
NG,100,Refuse,REFUSE,2022-12-31,2.85,Commercial
NG,100,Refuse,REFUSE,2022-12-31,1.32,Commercial
NG,100,Refuse,REFUSE,2022-12-31,0.43,Commercial
27,100,Refuse,REFUSE,2022-12-31,0.55,Commercial
27,100,Refuse,REFUSE,2022-12-31,0.59,Commercial
NG,300,Green,GREEN,2022-12-31,2.4,Commercial
27,100,Refuse,REFUSE,2022-12-31,1.59,Non-Profit
NG,100,Refuse,REFUSE,2022-12-31,1.24,Commercial
NG,100,Refuse,REFUSE,2022-12-31,1.87,Commercial
NG,100,Refuse,REFUSE,2022-12-31,1.84,Commercial
NG,100,Refuse,REFUSE,2022-12-31,1.83,Commercial
27,100,Refuse,REFUSE,2022-12-31,0.95,Residential
NG,100,Refuse,REFUSE,2022-12-31,0.22,Commercial
27,100,Refuse,REFUSE,2022-12-31,0.62,Commercial
NG,100,Refuse,REFUSE,2022-12-31,0.98,Commercial
NG,100,Refuse,REFUSE,2022-12-31,0.93,Commercial
27,100,Refuse,REFUSE,2022-12-31,0.38,Commercial
NG,100,Refuse,REFUSE,2022-12-31,0.94,Commercial
NG,100,Refuse,REFUSE,2022-12-31,1.16,Commercial
NG,100,Refuse,REFUSE,2022-12-31,0.85,Commercial
NG,100,Refuse,REFUSE,2022-12-31,0.33,Commercial
NG,100,Refuse,REFUSE,2022-12-31,1.52,Commercial
NG,100,Refuse,REFUSE,2022-12-31,1.45,Commercial
27,100,Refuse,REFUSE,2022-12-31,9.58,Contained
NG,100,Refuse,REFUSE,2022-12-31,0.66,Commercial
