SiteCode,MT,MTLabel,MTGroup,DateOut,NetSTN,BillCustomerType
27,100,Refuse,REFUSE,2022-07-31,0.46,Special Ops
27,100,Refuse,REFUSE,2022-07-30,7.45,Reciprocal
27,100,Refuse,REFUSE,2022-07-30,12.15,Reciprocal
27,100,Refuse,REFUSE,2022-07-30,11.32,Reciprocal
NG,100,Refuse,REFUSE,2022-07-30,2.24,AR
NG,100,Refuse,REFUSE,2022-07-30,7.01,Uncontained
27,100,Refuse,REFUSE,2022-07-30,7.52,Reciprocal
27,100,Refuse,REFUSE,2022-07-30,1.14,Reciprocal
NG,100,Refuse,REFUSE,2022-07-30,0.5,AR
27,100,Refuse,REFUSE,2022-07-30,13.06,Reciprocal
27,100,Refuse,REFUSE,2022-07-30,9.67,Reciprocal
NG,100,Refuse,REFUSE,2022-07-30,3.56,Uncontained
27,100,Refuse,REFUSE,2022-07-30,10.85,Reciprocal
NG,100,Refuse,REFUSE,2022-07-30,6.53,Contained
27,100,Refuse,REFUSE,2022-07-30,11.08,Reciprocal
27,100,Refuse,REFUSE,2022-07-30,5.92,Reciprocal
27,100,Refuse,REFUSE,2022-07-30,0.18,Reciprocal
27,100,Refuse,REFUSE,2022-07-30,0.67,Reciprocal
27,100,Refuse,REFUSE,2022-07-30,9.94,Reciprocal
NG,300,Green,GREEN,2022-07-30,1.77,AR
27,100,Refuse,REFUSE,2022-07-30,9.67,Reciprocal
NG,300,Green,GREEN,2022-07-30,2.96,AR
27,100,Refuse,REFUSE,2022-07-30,0.77,Reciprocal
27,100,Refuse,REFUSE,2022-07-30,1.6,Reciprocal
27,100,Refuse,REFUSE,2022-07-30,3.54,Reciprocal
27,100,Refuse,REFUSE,2022-07-30,3.68,Reciprocal
NG,100,Refuse,REFUSE,2022-07-30,9.03,Uncontained
27,100,Refuse,REFUSE,2022-07-30,0.13,Special Ops
NG,100,Refuse,REFUSE,2022-07-30,0.72,Commercial
NG,100,Refuse,REFUSE,2022-07-30,1.33,Commercial
NG,100,Refuse,REFUSE,2022-07-30,0.39,Commercial
27,100,Refuse,REFUSE,2022-07-30,0.65,Commercial
27,100,Refuse,REFUSE,2022-07-30,0.8,Commercial
NG,100,Refuse,REFUSE,2022-07-30,0.32,Commercial
27,100,Refuse,REFUSE,2022-07-30,0.65,Commercial
27,100,Refuse,REFUSE,2022-07-30,1.11,Commercial
NG,100,Refuse,REFUSE,2022-07-30,0.69,Commercial
NG,100,Refuse,REFUSE,2022-07-30,0.36,Commercial
27,100,Refuse,REFUSE,2022-07-30,1.21,Residential
27,100,Refuse,REFUSE,2022-07-30,7.82,Special Ops
NG,100,Refuse,REFUSE,2022-07-30,0.42,Commercial
NG,100,Refuse,REFUSE,2022-07-30,0.46,Commercial
NG,100,Refuse,REFUSE,2022-07-30,1.25,Commercial
NG,100,Refuse,REFUSE,2022-07-30,0.64,Commercial
NG,100,Refuse,REFUSE,2022-07-30,0.77,Commercial
NG,100,Refuse,REFUSE,2022-07-30,0.49,Commercial
NG,100,Refuse,REFUSE,2022-07-30,0.99,Commercial
NG,100,Refuse,REFUSE,2022-07-30,0.78,Residential
27,100,Refuse,REFUSE,2022-07-30,1.04,Commercial
NG,100,Refuse,REFUSE,2022-07-30,1.47,Commercial
NG,100,Refuse,REFUSE,2022-07-30,0.62,Commercial
