SiteCode,MT,MTLabel,MTGroup,DateOut,NetSTN,BillCustomerType
NG,200,Recycle,RECYCLE,2022-06-30,2.8,Reciprocal
NG,300,Green,GREEN,2022-06-30,3.43,Reciprocal
27,300,Green,GREEN,2022-06-30,4.49,AR
NG,200,Recycle,RECYCLE,2022-06-30,1.57,Reciprocal
NG,200,Recycle,RECYCLE,2022-06-30,2.56,Reciprocal
27,100,Refuse,REFUSE,2022-06-30,0.52,AR
27,100,Refuse,REFUSE,2022-06-30,0.99,AR
NG,100,Refuse,REFUSE,2022-06-30,0.24,AR
27,100,Refuse,REFUSE,2022-06-30,10.91,Contained
NG,200,Recycle,RECYCLE,2022-06-30,2.46,Reciprocal
27,300,Green,GREEN,2022-06-30,1.45,AR
NG,200,Recycle,RECYCLE,2022-06-30,1.27,Reciprocal
NG,200,Recycle,RECYCLE,2022-06-30,3.98,Reciprocal
27,300,Green,GREEN,2022-06-30,3.98,AR
27,100,Refuse,REFUSE,2022-06-30,4.84,Contained
27,100,Refuse,REFUSE,2022-06-30,9.02,Uncontained
27,100,Refuse,REFUSE,2022-06-30,10.28,Reciprocal
NG,100,Refuse,REFUSE,2022-06-30,12.45,Reciprocal
27,100,Refuse,REFUSE,2022-06-30,8.92,Contained
27,100,Refuse,REFUSE,2022-06-30,10.62,Contained
27,300,Green,GREEN,2022-06-30,1.82,AR
27,100,Refuse,REFUSE,2022-06-30,9.43,Contained
NG,300,Green,GREEN,2022-06-30,1.26,AR
27,100,Refuse,REFUSE,2022-06-30,11.66,Reciprocal
27,100,Refuse,REFUSE,2022-06-30,7.83,Contained
27,100,Refuse,REFUSE,2022-06-30,9.45,Contained
NG,200,Recycle,RECYCLE,2022-06-30,4.6,Reciprocal
27,200,Recycle,RECYCLE,2022-06-30,4.33,Contained
27,200,Recycle,RECYCLE,2022-06-30,5.59,Contained
27,100,Refuse,REFUSE,2022-06-30,9.1,Contained
27,300,Green,GREEN,2022-06-30,0.65,AR
NG,200,Recycle,RECYCLE,2022-06-30,2.17,Reciprocal
27,100,Refuse,REFUSE,2022-06-30,8.08,Uncontained
